city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,last_new_job,training_hours,target
0.794,Female,0,0,Graduate,Business Degree,0,1,12,1
0.698,Male,1,1,Graduate,STEM,9,1,166,0
0.92,Male,1,0,Graduate,STEM,9,0,32,1
0.92,Male,1,0,Graduate,STEM,15,4,45,0
0.92,Female,1,0,Graduate,STEM,20,5,51,1
0.624,Male,0,1,Graduate,STEM,0,0,18,1
0.926,Female,1,0,Masters,STEM,20,5,108,1
0.91,Male,0,0,Graduate,STEM,6,1,8,1
0.884,Male,1,0,Masters,STEM,19,2,167,0
0.624,Female,1,0,Graduate,STEM,12,0,10,0
0.92,Female,0,1,Graduate,STEM,7,1,22,0
0.92,Female,1,0,Graduate,STEM,2,1,43,0
0.887,Male,1,0,Masters,STEM,20,5,41,0
0.92,Female,0,0,Graduate,STEM,3,5,108,1
0.847,Male,0,0,Masters,STEM,4,1,33,0
0.91,Male,1,0,Graduate,STEM,9,1,17,0
0.92,Female,0,1,Graduate,STEM,3,2,61,0
0.939,Female,1,0,Graduate,STEM,10,1,94,0
0.624,Male,1,1,Phd,STEM,20,5,108,1
0.92,Female,1,0,Masters,STEM,10,2,41,0
0.722,Male,1,1,Graduate,STEM,5,1,36,0
0.884,Female,1,0,Graduate,STEM,3,5,55,0
0.92,Male,1,0,Masters,STEM,13,4,16,0
0.939,Female,1,0,Graduate,Humanities,4,1,100,0
0.926,Male,1,1,Graduate,STEM,20,1,26,0
0.843,Female,1,0,Graduate,STEM,6,1,70,0
0.866,Female,0,1,Graduate,STEM,0,2,83,0
0.91,Male,0,0,Graduate,STEM,4,1,36,0
0.743,Female,1,1,Graduate,STEM,3,1,44,0
0.776,Male,1,0,Masters,STEM,10,1,22,0
0.92,Female,1,0,Graduate,Arts,4,1,22,0
0.926,Female,1,0,Masters,Humanities,9,1,44,0
0.92,Male,0,0,Graduate,STEM,2,1,62,1
0.939,Male,1,1,Graduate,STEM,20,1,35,0
0.926,Male,1,0,Graduate,STEM,6,1,104,0
0.666,Female,0,0,Phd,STEM,5,1,18,0
0.92,Male,1,0,Graduate,STEM,6,1,34,0
0.92,Male,1,0,Graduate,STEM,2,2,112,0
0.897,Male,0,1,Masters,STEM,7,1,88,0
0.92,Male,0,0,Phd,STEM,7,5,6,1
0.92,Female,1,1,Graduate,STEM,15,5,65,1
0.92,Male,0,0,Graduate,STEM,13,5,30,0
0.804,Male,1,0,Graduate,STEM,8,1,86,0
0.92,Male,1,0,Graduate,STEM,7,4,51,0
0.55,Female,1,1,Masters,STEM,15,2,55,0
0.925,Female,1,0,Masters,STEM,19,0,24,0
0.939,Male,1,0,Graduate,STEM,12,1,7,0
0.804,Female,1,0,Graduate,STEM,13,5,26,0
0.92,Female,1,0,Graduate,STEM,8,2,314,0
0.91,Male,1,0,Graduate,STEM,20,5,62,0
0.903,Female,1,0,Masters,Arts,7,1,96,1
0.92,Male,0,1,Masters,STEM,14,4,36,0
0.624,Male,1,1,Masters,STEM,2,1,13,0
0.92,Male,1,0,Graduate,STEM,9,2,11,0
0.92,Male,1,0,Graduate,STEM,20,3,192,0
0.92,Male,1,0,Graduate,STEM,20,5,58,0
0.802,Female,1,0,Graduate,STEM,11,2,112,0
0.926,Male,1,0,Masters,STEM,20,1,33,0
0.92,Male,1,0,Graduate,STEM,20,5,21,1
0.92,Female,1,0,Phd,STEM,20,2,23,0
0.92,Female,1,0,Masters,Arts,20,1,18,1
0.92,Female,1,0,Graduate,STEM,19,0,79,0
0.897,Female,1,0,Masters,STEM,14,2,98,0
0.92,Male,1,0,Graduate,STEM,20,5,78,0
0.666,Male,1,0,Graduate,STEM,10,5,33,0
0.624,Female,1,0,Graduate,STEM,4,1,172,1
0.92,Female,0,1,Graduate,STEM,2,0,34,0
0.624,Female,0,1,Graduate,STEM,0,4,66,1
0.92,Male,1,0,Graduate,STEM,5,2,25,0
0.92,Male,1,0,Graduate,Other,1,1,18,0
0.91,Female,1,0,Graduate,Humanities,20,1,28,0
0.926,Male,0,1,Masters,STEM,16,5,101,0
0.767,Male,1,0,Masters,STEM,13,2,12,0
0.92,Male,1,0,Graduate,Arts,20,5,133,0
0.92,Male,0,0,Graduate,STEM,20,5,32,0
0.624,Male,0,1,Graduate,STEM,4,0,58,1
0.92,Male,1,0,Graduate,STEM,5,2,60,0
0.512,Female,1,0,Masters,STEM,15,5,75,0
0.624,Male,0,1,Graduate,STEM,2,1,6,0
0.92,Female,0,1,Graduate,STEM,2,1,21,1
0.556,Male,1,1,Graduate,STEM,7,1,102,0
0.878,Male,1,1,Graduate,STEM,7,1,37,1
0.92,Male,1,0,Graduate,STEM,20,2,6,0
0.698,Male,1,1,Masters,STEM,3,2,45,0
0.624,Female,1,0,Graduate,STEM,14,1,14,1
0.624,Female,1,0,Masters,STEM,5,4,28,0
0.939,Male,1,0,Graduate,STEM,6,1,12,1
0.55,Male,1,1,Masters,STEM,4,1,110,1
0.926,Male,1,0,Graduate,STEM,13,3,48,0
0.897,Male,0,0,Phd,STEM,12,2,74,1
0.804,Female,1,1,Masters,STEM,10,5,62,1
0.887,Male,1,1,Graduate,STEM,7,1,25,0
0.92,Female,1,0,Graduate,Humanities,3,0,12,1
0.92,Female,1,0,Graduate,STEM,13,3,23,0
0.624,Male,1,0,Masters,STEM,6,2,155,0
0.897,Male,1,0,Graduate,STEM,16,2,68,0
0.924,Male,1,0,Graduate,Other,20,1,69,0
0.624,Male,1,0,Masters,Other,20,4,11,0
0.92,Female,1,1,Graduate,STEM,10,2,80,0
0.827,Male,1,0,Graduate,STEM,20,5,70,0
0.913,Male,1,1,Graduate,STEM,7,1,10,0
0.926,Male,1,0,Graduate,STEM,10,4,4,0
0.698,Female,0,1,Masters,STEM,5,4,21,1
0.92,Male,0,0,Masters,Humanities,3,3,31,1
0.91,Male,0,0,Masters,STEM,20,0,72,0
0.92,Female,1,0,Graduate,STEM,16,5,142,0
0.92,Female,1,0,Masters,STEM,20,5,46,0
0.92,Female,1,0,Graduate,STEM,9,4,39,0
0.92,Female,1,1,Graduate,STEM,4,1,7,0
0.855,Female,1,0,Graduate,STEM,14,2,72,0
0.762,Male,0,1,Graduate,STEM,5,0,6,1
0.92,Female,1,0,Graduate,STEM,20,1,280,0
0.91,Male,1,0,Graduate,STEM,20,2,158,0
0.91,Male,1,0,Masters,STEM,20,5,73,0
0.624,Male,1,0,Graduate,STEM,9,3,52,1
0.92,Female,1,0,Masters,STEM,2,1,40,0
0.738,Male,1,0,Graduate,STEM,17,3,2,0
0.92,Male,0,0,Graduate,STEM,20,5,32,0
0.939,Male,1,0,Masters,STEM,20,1,58,0
0.925,Female,1,0,Graduate,STEM,10,5,162,1
0.926,Male,1,0,Graduate,STEM,12,1,48,0
0.92,Male,1,0,Graduate,STEM,15,3,3,1
0.698,Female,1,1,Graduate,STEM,0,1,8,1
0.92,Male,1,0,Graduate,STEM,20,4,16,0
0.743,Female,1,0,Graduate,STEM,20,5,18,0
0.91,Male,1,0,Graduate,STEM,12,5,64,1
0.848,Male,0,0,Masters,STEM,12,2,17,1
0.91,Male,1,0,Graduate,STEM,19,2,11,0
0.92,Female,1,0,Masters,STEM,20,4,40,0
0.624,Female,1,0,Graduate,STEM,11,1,56,1
0.897,Male,1,0,Masters,STEM,9,2,13,0
0.624,Male,1,0,Masters,STEM,3,1,51,1
0.897,Female,1,0,Masters,STEM,2,1,56,0
0.624,Female,1,0,Graduate,STEM,5,1,100,1
0.926,Male,0,0,Graduate,Arts,9,0,132,0
0.926,Male,1,0,Graduate,STEM,9,5,9,0
0.92,Female,1,0,Phd,STEM,20,1,104,1
0.754,Female,1,0,Masters,STEM,14,2,47,0
0.92,Female,1,1,Graduate,STEM,16,3,14,1
0.92,Male,1,0,Graduate,STEM,4,4,48,0
0.92,Female,1,0,Graduate,Arts,2,1,16,1
0.92,Female,1,0,Graduate,STEM,3,1,112,0
0.624,Female,1,0,Graduate,STEM,3,1,214,0
0.92,Female,1,0,Graduate,STEM,12,1,32,0
0.884,Male,1,0,Graduate,STEM,14,5,10,0
0.92,Male,1,0,Graduate,STEM,5,2,161,0
0.92,Male,1,0,Graduate,Arts,18,5,109,0
0.897,Male,1,0,Masters,STEM,11,2,16,0
0.92,Female,1,0,Masters,Humanities,20,5,38,0
0.92,Male,1,0,Graduate,STEM,7,3,132,0
0.624,Male,1,0,Graduate,STEM,7,1,160,1
0.624,Female,1,0,Graduate,STEM,17,5,10,1
0.92,Male,1,0,Graduate,STEM,1,1,48,0
0.897,Female,1,0,Masters,STEM,6,1,17,0
0.92,Female,0,1,Graduate,Humanities,1,1,42,1
0.92,Male,1,0,Graduate,STEM,20,1,105,0
0.92,Female,1,0,Graduate,STEM,6,2,310,0
0.804,Male,1,0,Masters,STEM,13,1,21,0
0.939,Female,1,0,Graduate,STEM,7,5,7,0
0.92,Female,1,0,Masters,Arts,15,5,70,0
0.878,Male,1,0,Graduate,STEM,12,2,8,0
0.836,Female,1,0,Masters,STEM,6,1,122,0
0.698,Female,0,1,Graduate,STEM,8,1,94,1
0.92,Female,1,0,Graduate,STEM,4,0,17,0
0.74,Male,1,0,Masters,STEM,5,1,10,0
0.624,Male,1,0,Graduate,STEM,16,5,11,0
0.802,Female,1,0,Masters,STEM,15,3,25,0
0.92,Male,1,0,Masters,STEM,3,1,29,1
0.624,Female,1,0,Masters,STEM,3,1,22,1
0.827,Male,1,0,Masters,STEM,17,5,102,0
0.91,Male,1,0,Masters,STEM,11,2,78,0
0.915,Female,1,0,Graduate,STEM,20,5,57,1
0.624,Female,0,1,Masters,STEM,5,0,26,1
0.74,Male,0,0,Graduate,STEM,4,0,228,1
0.926,Male,1,0,Masters,STEM,9,1,150,1
0.624,Female,1,0,Graduate,STEM,6,1,48,1
0.855,Female,1,1,Graduate,STEM,2,1,49,0
0.92,Male,0,0,Graduate,STEM,15,5,103,1
0.92,Female,1,0,Graduate,Humanities,3,3,13,0
0.92,Female,1,0,Masters,STEM,20,5,15,1
0.92,Female,1,0,Graduate,STEM,4,2,18,0
0.856,Female,1,0,Masters,STEM,12,1,162,0
0.55,Male,1,1,Graduate,STEM,4,4,51,0
0.92,Female,1,0,Graduate,STEM,20,5,34,0
0.92,Female,0,1,Graduate,STEM,0,2,29,0
0.624,Male,1,0,Graduate,STEM,2,1,58,1
0.866,Male,1,1,Graduate,STEM,4,1,33,0
0.92,Male,1,0,Graduate,STEM,15,3,88,1
0.55,Female,1,0,Graduate,STEM,5,1,280,0
0.91,Male,1,0,Phd,Humanities,20,5,160,0
0.91,Male,0,0,Graduate,STEM,20,4,18,0
0.624,Female,0,0,Graduate,STEM,0,1,23,0
0.738,Female,1,0,Graduate,STEM,7,2,7,0
0.884,Male,1,0,Masters,STEM,20,3,14,0
0.884,Female,1,0,Graduate,STEM,7,1,39,0
0.92,Male,1,0,Graduate,STEM,4,1,106,0
0.893,Female,1,0,Masters,STEM,15,1,38,0
0.92,Female,0,1,Graduate,STEM,4,0,51,0
0.92,Female,0,0,Masters,Humanities,4,1,96,0
0.896,Male,1,0,Masters,STEM,13,2,88,0
0.92,Female,1,0,Graduate,STEM,16,5,88,0
0.926,Female,1,0,Graduate,STEM,15,1,12,0
0.924,Male,1,0,Graduate,STEM,20,2,198,0
0.92,Female,1,0,Masters,STEM,6,1,101,0
0.92,Female,1,0,Graduate,STEM,6,1,70,0
0.897,Male,0,1,Graduate,STEM,3,1,23,0
0.92,Male,1,0,Graduate,STEM,20,1,39,0
0.92,Male,1,0,Graduate,STEM,20,1,122,0
0.91,Female,1,0,Masters,STEM,5,2,86,0
0.827,Male,0,1,Graduate,STEM,11,1,73,1
0.91,Female,1,0,Masters,STEM,8,5,268,0
0.92,Female,1,0,Graduate,STEM,4,1,17,0
0.92,Female,1,0,Graduate,STEM,20,5,110,0
0.866,Male,1,0,Masters,STEM,20,5,15,0
0.754,Male,1,0,Graduate,STEM,9,2,133,1
0.754,Male,1,0,Graduate,STEM,20,2,74,0
0.689,Female,0,0,Graduate,STEM,3,1,72,0
0.92,Female,1,0,Graduate,STEM,7,2,14,0
0.926,Male,1,0,Masters,STEM,5,1,32,0
0.91,Male,1,0,Graduate,STEM,19,2,20,0
0.92,Female,0,1,Graduate,STEM,10,5,112,1
0.855,Female,1,0,Graduate,STEM,2,1,44,0
0.91,Female,1,0,Masters,Humanities,14,1,28,0
0.624,Male,1,0,Graduate,STEM,12,0,35,1
0.479,Male,1,1,Graduate,STEM,2,1,43,0
0.624,Male,0,1,Masters,STEM,3,0,90,0
0.91,Female,1,0,Masters,Business Degree,2,1,78,0
0.884,Male,1,0,Graduate,STEM,15,1,86,0
0.624,Male,1,1,Graduate,STEM,6,1,10,0
0.682,Male,1,0,Graduate,STEM,6,2,10,0
0.55,Female,0,1,Graduate,STEM,0,2,63,1
0.763,Male,1,0,Graduate,STEM,12,1,288,0
0.92,Female,1,0,Masters,STEM,6,1,18,0
0.91,Female,1,0,Masters,Business Degree,8,4,74,0
0.624,Female,1,0,Graduate,STEM,11,1,51,1
0.74,Male,0,0,Masters,STEM,14,3,96,0
0.92,Male,1,0,Graduate,STEM,9,1,65,0
0.887,Male,1,1,Graduate,STEM,10,5,116,0
0.878,Male,1,0,Phd,Other,20,1,8,0
0.939,Male,0,0,Masters,STEM,12,4,28,0
0.884,Female,1,0,Graduate,STEM,9,2,54,0
0.624,Male,1,0,Graduate,STEM,5,1,66,0
0.939,Female,1,0,Masters,STEM,10,5,48,0
0.843,Male,1,0,Graduate,STEM,12,5,35,0
0.92,Female,1,0,Masters,STEM,17,2,11,0
0.92,Female,1,0,Graduate,STEM,15,2,107,0
0.91,Female,1,0,Graduate,STEM,12,5,216,0
0.682,Male,0,1,Graduate,STEM,0,1,21,1
0.624,Male,1,0,Graduate,STEM,18,5,284,0
0.92,Male,1,0,Graduate,STEM,18,5,56,0
0.91,Female,1,0,Graduate,Other,4,1,146,0
0.899,Male,1,0,Graduate,STEM,12,1,20,0
0.926,Female,1,0,Masters,STEM,16,4,19,0
0.624,Male,1,0,Graduate,STEM,7,1,220,1
0.91,Female,1,0,Graduate,STEM,12,1,84,0
0.92,Male,0,1,Graduate,STEM,4,1,57,0
0.698,Male,1,0,Graduate,STEM,19,1,9,0
0.92,Female,1,0,Graduate,STEM,16,4,26,0
0.92,Female,0,1,Masters,Humanities,20,5,9,0
0.92,Female,1,0,Graduate,Humanities,20,4,96,0
0.896,Male,1,0,Masters,STEM,20,1,42,0
0.92,Female,0,0,Graduate,STEM,20,5,202,1
0.92,Male,1,0,Graduate,STEM,9,1,7,0
0.913,Male,1,0,Graduate,STEM,7,1,21,0
0.743,Male,1,0,Masters,STEM,20,5,11,0
0.698,Female,1,0,Masters,STEM,12,3,6,0
0.698,Female,1,0,Graduate,STEM,9,1,88,0
0.92,Female,1,0,Graduate,Business Degree,2,1,222,0
0.92,Female,1,0,Graduate,STEM,9,2,55,1
0.624,Female,1,0,Graduate,STEM,4,1,2,1
0.92,Male,1,0,Graduate,STEM,17,5,35,1
0.92,Male,1,0,Masters,STEM,20,2,66,0
0.887,Male,0,1,Graduate,STEM,4,1,52,1
0.92,Male,1,0,Graduate,STEM,7,1,35,0
0.855,Male,1,0,Masters,STEM,13,1,28,0
0.925,Female,1,0,Graduate,STEM,9,1,90,0
0.92,Female,0,0,Phd,STEM,8,1,3,0
0.579,Female,1,0,Graduate,STEM,4,1,67,0
0.92,Female,0,0,Graduate,Humanities,2,1,20,1
0.899,Female,1,0,Graduate,Humanities,20,5,34,0
0.91,Female,0,0,Graduate,STEM,20,1,47,0
0.698,Female,0,1,Masters,STEM,4,1,72,0
0.624,Female,1,1,Graduate,STEM,6,3,59,0
0.624,Male,1,0,Graduate,STEM,6,0,2,1
0.939,Male,1,0,Masters,Humanities,15,4,12,0
0.855,Male,1,0,Masters,STEM,15,0,334,0
0.794,Female,1,0,Masters,STEM,14,4,92,0
0.624,Female,1,1,Masters,STEM,13,5,8,1
0.92,Male,1,0,Graduate,STEM,20,5,77,0
0.624,Male,1,0,Masters,STEM,17,1,134,0
0.92,Female,1,0,Graduate,STEM,6,4,124,0
0.92,Female,1,0,Graduate,STEM,20,3,62,0
0.926,Male,0,1,Graduate,STEM,15,0,8,0
0.855,Female,0,1,Graduate,STEM,14,1,156,0
0.624,Female,1,0,Graduate,STEM,2,1,84,0
0.884,Male,1,0,Graduate,STEM,20,5,4,0
0.691,Female,0,0,Graduate,STEM,0,0,18,1
0.92,Female,1,0,Masters,Humanities,10,5,33,0
0.804,Female,0,0,Graduate,STEM,18,5,72,0
0.91,Female,1,0,Graduate,STEM,17,1,3,0
0.884,Female,0,1,Graduate,STEM,5,1,16,0
0.925,Male,1,0,Graduate,STEM,10,5,29,1
0.92,Female,1,0,Graduate,Humanities,10,5,124,0
0.92,Female,1,0,Masters,STEM,20,2,62,0
0.92,Female,1,0,Masters,STEM,16,1,292,0
0.855,Female,1,1,Graduate,STEM,6,3,58,0
0.92,Female,0,0,Graduate,Humanities,1,0,95,1
0.624,Female,1,0,Graduate,STEM,9,0,68,1
0.624,Male,1,0,Graduate,STEM,1,0,20,0
0.899,Male,1,0,Graduate,STEM,4,1,10,0
0.92,Female,0,1,Graduate,STEM,3,0,109,1
0.92,Female,1,0,Graduate,Humanities,6,1,30,0
0.92,Male,0,0,Graduate,STEM,20,5,17,0
0.624,Male,1,1,Graduate,STEM,2,1,176,0
0.925,Male,1,0,Graduate,STEM,4,1,46,0
0.913,Male,1,0,Phd,STEM,20,1,43,1
0.92,Male,1,0,Phd,STEM,20,5,48,0
0.624,Female,1,0,Masters,Other,8,1,17,0
0.92,Female,1,0,Graduate,STEM,20,5,224,0
0.754,Female,1,1,Graduate,STEM,5,3,49,0
0.698,Male,0,0,Graduate,STEM,5,1,60,1
0.939,Male,1,0,Graduate,STEM,19,1,33,0
0.92,Female,1,0,Graduate,STEM,1,1,125,0
0.92,Female,1,0,Graduate,STEM,0,1,110,0
0.767,Male,0,1,Masters,STEM,9,5,24,1
0.887,Female,1,0,Graduate,STEM,12,1,100,0
0.926,Male,1,0,Graduate,STEM,16,1,110,0
0.624,Male,0,1,Graduate,STEM,4,1,42,0
0.897,Female,1,0,Graduate,STEM,9,1,79,0
0.738,Male,1,0,Graduate,Humanities,2,1,29,1
0.83,Male,1,0,Masters,STEM,13,1,157,0
0.91,Male,1,0,Graduate,STEM,20,1,36,0
0.924,Female,0,1,Graduate,STEM,3,1,39,1
0.939,Female,0,1,Masters,STEM,1,1,17,0
0.624,Male,1,0,Graduate,STEM,5,2,35,1
0.92,Male,0,1,Graduate,STEM,6,1,36,1
0.925,Male,1,0,Masters,STEM,10,1,220,0
0.92,Male,1,0,Graduate,STEM,7,2,11,0
0.92,Male,1,0,Graduate,STEM,20,5,45,0
0.624,Male,1,0,Graduate,STEM,9,4,28,1
0.624,Male,1,0,Graduate,STEM,7,3,270,1
0.682,Female,1,0,Graduate,Other,20,2,63,0
0.92,Female,1,1,Graduate,STEM,19,1,292,0
0.92,Male,1,0,Masters,Humanities,4,1,102,0
0.897,Female,1,0,Masters,STEM,2,1,33,0
0.92,Female,1,0,Graduate,STEM,20,1,15,0
0.92,Male,1,0,Graduate,STEM,7,4,39,0
0.913,Female,1,0,Graduate,STEM,20,1,9,0
0.92,Female,1,0,Graduate,Humanities,0,1,7,0
0.92,Female,1,0,Masters,STEM,8,1,16,0
0.92,Male,1,0,Graduate,STEM,10,2,13,0
0.624,Female,1,0,Graduate,STEM,4,2,38,1
0.92,Female,1,0,Masters,STEM,20,1,25,0
0.698,Male,1,0,Graduate,STEM,7,2,192,1
0.897,Female,0,1,Phd,STEM,6,1,158,0
0.92,Female,1,0,Graduate,STEM,20,1,17,0
0.92,Female,1,0,Graduate,Business Degree,20,4,256,0
0.92,Male,0,1,Graduate,STEM,5,0,13,0
0.91,Male,1,0,Masters,STEM,10,1,18,0
0.624,Male,0,1,Graduate,STEM,1,0,54,1
0.915,Male,1,0,Graduate,STEM,14,2,52,0
0.897,Female,1,0,Masters,STEM,7,1,34,0
0.682,Female,1,0,Graduate,STEM,6,1,71,0
0.855,Female,0,1,Masters,STEM,10,3,98,0
0.91,Male,1,0,Graduate,STEM,19,1,116,0
0.91,Male,1,0,Graduate,STEM,20,5,106,0
0.91,Female,1,0,Masters,STEM,15,2,112,0
0.836,Male,1,1,Graduate,STEM,13,2,21,0
0.92,Male,1,0,Graduate,STEM,5,1,45,0
0.725,Male,0,1,Graduate,STEM,3,1,50,0
0.896,Male,1,0,Masters,STEM,20,1,9,0
0.92,Female,0,0,Graduate,Humanities,10,5,7,1
0.624,Female,1,1,Graduate,STEM,3,1,15,1
0.92,Male,1,1,Graduate,STEM,0,1,53,0
0.926,Male,1,0,Graduate,STEM,9,1,92,0
0.666,Male,1,0,Graduate,STEM,2,1,124,0
0.92,Female,1,0,Masters,STEM,16,4,52,0
0.896,Male,1,0,Masters,STEM,10,4,10,0
0.926,Female,1,0,Graduate,STEM,20,2,40,0
0.92,Female,1,0,Graduate,STEM,2,1,204,0
0.926,Female,1,0,Graduate,STEM,15,2,5,1
0.745,Female,1,0,Masters,STEM,15,5,132,0
0.92,Male,1,0,Graduate,STEM,11,5,152,0
0.579,Male,1,1,Graduate,STEM,5,1,268,1
0.92,Male,1,0,Masters,STEM,20,4,4,0
0.527,Female,1,0,Masters,Other,10,2,18,1
0.926,Male,1,0,Graduate,STEM,11,0,3,1
0.624,Male,0,0,Masters,STEM,6,5,138,1
0.92,Male,1,0,Graduate,STEM,20,5,25,1
0.92,Female,1,0,Phd,Arts,15,1,48,0
0.926,Male,1,0,Masters,STEM,10,2,15,0
0.91,Male,1,0,Graduate,STEM,12,1,98,0
0.923,Female,1,0,Phd,STEM,20,5,13,0
0.887,Male,1,0,Graduate,STEM,20,5,102,1
0.92,Female,1,0,Graduate,Humanities,20,4,41,0
0.92,Female,1,0,Phd,STEM,20,4,31,0
0.91,Male,1,1,Graduate,STEM,10,4,206,0
0.92,Male,0,0,Graduate,Humanities,13,5,226,0
0.91,Male,1,0,Masters,STEM,20,1,96,0
0.91,Male,1,0,Graduate,STEM,6,1,14,0
0.91,Male,1,0,Graduate,STEM,5,1,114,0
0.896,Male,1,0,Graduate,STEM,7,2,30,0
0.55,Male,0,1,Graduate,STEM,3,1,138,0
0.887,Male,1,0,Graduate,STEM,11,1,36,0
0.624,Male,1,0,Graduate,STEM,1,0,162,1
0.689,Male,1,0,Graduate,Arts,4,4,72,1
0.92,Female,1,0,Masters,Humanities,3,1,2,0
0.856,Male,1,0,Graduate,STEM,20,1,78,0
0.92,Female,1,0,Graduate,STEM,20,1,48,0
0.926,Male,0,0,Graduate,STEM,20,5,63,0
0.92,Male,1,1,Graduate,STEM,3,1,118,0
0.926,Male,1,1,Graduate,STEM,19,1,111,0
0.897,Male,1,0,Masters,STEM,20,5,26,0
0.92,Female,1,0,Masters,STEM,20,5,33,0
0.794,Female,1,0,Graduate,STEM,20,2,84,0
0.92,Female,0,1,Graduate,Humanities,0,3,37,1
0.92,Male,1,0,Graduate,STEM,20,3,154,0
0.92,Female,1,0,Graduate,STEM,8,1,52,0
0.789,Female,0,1,Graduate,STEM,4,0,308,1
0.92,Female,1,1,Graduate,STEM,8,1,40,1
0.55,Male,1,1,Graduate,STEM,17,1,98,0
0.701,Female,1,0,Graduate,STEM,20,1,18,0
0.92,Female,1,0,Graduate,STEM,10,5,20,1
0.926,Male,0,1,Graduate,STEM,5,5,54,1
0.92,Female,1,0,Graduate,STEM,3,1,25,0
0.624,Female,1,0,Masters,STEM,5,1,20,1
0.897,Female,0,0,Phd,STEM,9,4,222,0
0.926,Male,1,0,Masters,Humanities,17,1,113,0
0.92,Female,0,1,Graduate,STEM,9,0,40,1
0.579,Male,1,0,Graduate,STEM,3,3,136,0
0.92,Male,1,0,Masters,STEM,13,5,29,0
0.913,Female,1,0,Graduate,STEM,12,1,86,1
0.92,Female,1,0,Graduate,STEM,7,1,55,0
0.92,Female,0,0,Graduate,STEM,19,5,86,0
0.624,Female,1,0,Graduate,STEM,5,3,79,0
0.92,Female,1,0,Graduate,Other,2,1,43,1
0.92,Female,0,0,Masters,STEM,12,1,50,0
0.92,Male,1,0,Masters,STEM,10,5,36,0
0.92,Male,1,1,Graduate,STEM,20,5,47,0
0.804,Female,1,0,Graduate,STEM,5,0,62,0
0.855,Female,1,0,Graduate,STEM,5,1,30,0
0.91,Female,1,0,Graduate,STEM,5,1,41,0
0.91,Male,1,0,Graduate,STEM,2,0,80,0
0.92,Male,1,0,Graduate,STEM,8,2,26,0
0.92,Male,0,0,Graduate,STEM,3,1,73,0
0.897,Male,0,0,Masters,Business Degree,18,1,31,0
0.92,Female,1,0,Masters,STEM,19,1,108,0
0.855,Male,1,0,Masters,STEM,7,1,112,0
0.624,Female,0,0,Graduate,STEM,2,1,26,0
0.698,Male,1,0,Graduate,STEM,11,5,3,0
0.92,Male,1,0,Graduate,STEM,10,3,33,0
0.884,Male,1,0,Graduate,STEM,4,4,11,0
0.689,Male,1,0,Graduate,STEM,16,5,140,0
0.624,Male,1,0,Masters,STEM,4,1,32,1
0.698,Male,1,0,Graduate,STEM,14,1,25,0
0.735,Male,0,0,Graduate,STEM,2,2,113,1
0.836,Male,1,0,Graduate,STEM,19,5,65,0
0.866,Female,1,1,Graduate,STEM,5,0,40,1
0.92,Male,1,0,Masters,STEM,20,5,28,0
0.843,Female,1,0,Masters,STEM,8,1,246,0
0.92,Male,0,0,Graduate,STEM,20,1,11,0
0.555,Male,1,0,Graduate,STEM,9,1,24,1
0.624,Female,1,1,Graduate,STEM,2,2,89,1
0.926,Male,0,1,Graduate,STEM,2,1,153,0
0.884,Male,1,0,Graduate,STEM,1,1,37,0
0.91,Male,1,0,Masters,STEM,7,5,50,1
0.91,Male,1,0,Graduate,STEM,20,3,167,1
0.682,Male,0,0,Masters,STEM,20,5,47,0
0.897,Male,1,0,Masters,Humanities,10,2,80,0
0.92,Female,1,0,Graduate,STEM,11,5,74,1
0.925,Female,1,0,Phd,STEM,20,2,28,0
0.91,Male,0,0,Graduate,STEM,6,0,14,1
0.939,Male,1,0,Masters,STEM,20,1,22,0
0.878,Male,1,0,Masters,STEM,19,5,56,0
0.92,Female,0,0,Graduate,Business Degree,20,5,33,1
0.624,Female,1,0,Graduate,STEM,4,2,30,0
0.923,Male,1,0,Masters,STEM,16,1,96,0
0.925,Male,0,0,Graduate,STEM,10,1,32,0
0.92,Male,1,0,Graduate,STEM,7,1,82,0
0.939,Male,1,0,Masters,STEM,10,1,35,0
0.776,Female,0,1,Graduate,Other,1,1,34,0
0.727,Female,1,1,Graduate,STEM,7,2,127,0
0.91,Male,1,0,Graduate,STEM,20,5,68,1
0.92,Female,1,1,Masters,STEM,20,3,80,0
0.897,Female,0,1,Masters,Humanities,5,2,94,0
0.92,Male,1,0,Graduate,STEM,20,4,120,0
0.555,Female,1,0,Graduate,STEM,3,2,38,0
0.624,Female,1,0,Graduate,STEM,3,1,22,1
0.666,Male,0,0,Graduate,Business Degree,17,2,60,0
0.624,Male,1,0,Graduate,STEM,0,2,112,0
0.89,Male,1,0,Graduate,STEM,9,5,19,0
0.776,Male,1,0,Masters,STEM,7,1,56,0
0.92,Female,1,0,Graduate,Humanities,5,3,138,0
0.897,Female,1,0,Masters,Arts,9,3,28,0
0.624,Female,1,0,Graduate,STEM,11,5,43,0
0.55,Male,1,0,Graduate,STEM,7,1,47,0
0.92,Female,0,0,Graduate,STEM,5,1,34,1
0.92,Male,1,0,Masters,STEM,20,5,90,0
0.92,Male,1,0,Graduate,STEM,20,5,12,0
0.666,Female,1,1,Graduate,STEM,5,0,15,0
0.794,Male,1,0,Masters,STEM,11,1,18,1
0.789,Male,0,0,Graduate,Other,5,0,180,0
