model,engine_power,age_in_days,km,previous_owners,price,,,,,,,,,,,
pop,51,3500,80320,1,7000,,,,,,,,,,,
lounge,51,3013,143000,1,6500,,,,,,,,,,,
lounge,51,762,19600,1,9800,,,,,,,,,,,
pop,51,366,15626,1,8990,,,,,,,,,,,
pop,51,2251,90000,2,6400,,,,,,,,,,,
lounge,51,456,11569,1,10800,,,,,,,,,,,
pop,51,731,19675,1,9000,,,,,,,,,,,
lounge,51,1705,65000,1,6900,,,,,,,,,,,
pop,51,1858,33000,1,9800,,,,,,,,,,,
lounge,51,1492,64600,1,8300,,,,,,,,,,,
lounge,51,701,27000,1,9700,,,,,,,,,,,
lounge,51,425,18443,1,10800,,,,,,,,,,,
lounge,51,425,3600,1,9490,,,,,,,,,,,
lounge,51,3562,80646,1,6800,,,,,,,,,,,
lounge,51,2616,45000,1,7950,,,,,,,,,,,
lounge,51,2616,56400,1,6900,,,,,,,,,,,
lounge,51,425,13111,1,9990,,,,,,,,,,,
sport,51,517,43000,1,10800,,,,,,,,,,,
lounge,51,2892,104000,1,6800,,,,,,,,,,,
lounge,51,762,20000,1,9400,,,,,,,,,,,
lounge,51,670,19956,1,9800,,,,,,,,,,,
pop,51,1127,80858,1,7900,,,,,,,,,,,
lounge,51,2192,105000,1,8500,,,,,,,,,,,
pop,51,2922,31350,1,6500,,,,,,,,,,,
sport,51,609,35000,1,10500,,,,,,,,,,,
lounge,51,943,25006,1,10900,,,,,,,,,,,
lounge,62,3013,101417,1,7900,,,,,,,,,,,
lounge,51,4535,124000,1,4450,,,,,,,,,,,
lounge,51,1096,63500,1,9900,,,,,,,,,,,
lounge,51,2131,44659,1,8900,,,,,,,,,,,
pop,51,4353,104000,1,4300,,,,,,,,,,,
lounge,51,1431,68000,1,8800,,,,,,,,,,,
pop,51,1278,27970,1,9400,,,,,,,,,,,
lounge,51,3166,72185,1,6500,,,,,,,,,,,
lounge,51,790,24000,1,9800,,,,,,,,,,,
lounge,51,366,15951,1,9900,,,,,,,,,,,
lounge,51,1797,44000,1,10900,,,,,,,,,,,
lounge,51,3865,72000,1,7800,,,,,,,,,,,
lounge,51,3712,149000,1,5490,,,,,,,,,,,
lounge,51,3319,51034,1,8300,,,,,,,,,,,
lounge,51,790,16000,1,10500,,,,,,,,,,,
lounge,74,4658,135000,1,4490,,,,,,,,,,,
lounge,51,578,12982,1,10800,,,,,,,,,,,
lounge,51,852,38020,1,9490,,,,,,,,,,,
pop,51,366,19000,1,10490,,,,,,,,,,,
sport,51,1886,107500,1,8500,,,,,,,,,,,
lounge,51,790,19133,1,9850,,,,,,,,,,,
lounge,51,731,19371,1,9800,,,,,,,,,,,
pop,51,913,20000,1,8499,,,,,,,,,,,
lounge,62,2251,67000,1,7400,,,,,,,,,,,
lounge,51,790,31657,1,10200,,,,,,,,,,,
lounge,51,1155,55000,1,8400,,,,,,,,,,,
lounge,51,3623,109000,1,5990,,,,,,,,,,,
lounge,51,2374,86500,1,9300,,,,,,,,,,,
lounge,51,762,17800,1,10500,,,,,,,,,,,
lounge,51,4443,77918,1,5500,,,,,,,,,,,
lounge,51,3623,87166,1,5600,,,,,,,,,,,
pop,51,670,17000,1,10499,,,,,,,,,,,
pop,51,366,19000,1,8990,,,,,,,,,,,
pop,51,1066,65000,1,8300,,,,,,,,,,,
lounge,51,2223,58000,1,6500,,,,,,,,,,,
pop,51,366,11236,1,9800,,,,,,,,,,,
pop,51,2343,97000,1,5999,,,,,,,,,,,
lounge,51,640,39038,1,9800,,,,,,,,,,,
lounge,51,366,19112,1,10900,,,,,,,,,,,
lounge,51,2192,78000,1,7990,,,,,,,,,,,
pop,51,1127,36495,1,9480,,,,,,,,,,,
pop,51,2861,80000,1,7500,,,,,,,,,,,
lounge,51,2678,122000,1,5850,,,,,,,,,,,
sport,51,3258,120000,1,5300,,,,,,,,,,,
lounge,51,456,23000,1,9499,,,,,,,,,,,
lounge,51,1066,59961,1,7480,,,,,,,,,,,
pop,51,2374,73000,1,8900,,,,,,,,,,,
lounge,51,397,11997,1,9999,,,,,,,,,,,
lounge,51,640,40438,1,9800,,,,,,,,,,,
lounge,51,2982,36000,1,7500,,,,,,,,,,,
lounge,74,4658,118000,1,5500,,,,,,,,,,,
lounge,73,4566,120300,1,4900,,,,,,,,,,,
sport,51,3258,98660,1,6290,,,,,,,,,,,
lounge,51,731,33665,1,9980,,,,,,,,,,,
pop,51,1186,19000,1,8450,,,,,,,,,,,
lounge,51,1858,55476,1,8990,,,,,,,,,,,
lounge,51,425,13900,1,9970,,,,,,,,,,,
lounge,51,1066,59961,1,7480,,,,,,,,,,,
pop,51,2678,75000,1,6800,,,,,,,,,,,
pop,51,3347,85500,1,5699,,,,,,,,,,,
lounge,51,2739,85366,1,7400,,,,,,,,,,,
sport,73,4658,119000,1,4299,,,,,,,,,,,
pop,51,4322,120000,1,4399,,,,,,,,,,,
lounge,51,3927,117000,1,5500,,,,,,,,,,,
lounge,51,790,15716,1,10790,,,,,,,,,,,
pop,51,2039,57039,1,7590,,,,,,,,,,,
lounge,51,731,36303,1,9980,,,,,,,,,,,
lounge,51,670,29181,1,9790,,,,,,,,,,,
lounge,51,1492,46600,1,10600,,,,,,,,,,,
lounge,51,731,19800,1,9899,,,,,,,,,,,
lounge,51,425,17900,1,9970,,,,,,,,,,,
lounge,51,3227,70751,1,5900,,,,,,,,,,,
lounge,51,397,20450,1,10800,,,,,,,,,,,
pop,51,517,11000,1,10500,,,,,,,,,,,
pop,51,2313,75000,1,7400,,,,,,,,,,,
pop,51,1431,38800,1,7800,,,,,,,,,,,
lounge,51,1917,54250,1,6900,,,,,,,,,,,
pop,51,701,41000,1,9500,,,,,,,,,,,
lounge,51,670,28000,1,10200,,,,,,,,,,,
lounge,51,548,14181,1,9840,,,,,,,,,,,
lounge,51,701,14000,1,9790,,,,,,,,,,,
lounge,51,821,33224,1,9890,,,,,,,,,,,
pop,77,2435,28000,1,7999,,,,,,,,,,,
lounge,51,731,15150,1,10300,,,,,,,,,,,
lounge,51,2527,113396,1,6800,,,,,,,,,,,
lounge,51,3227,46000,1,6300,,,,,,,,,,,
lounge,51,3592,104000,1,6500,,,,,,,,,,,
lounge,51,4414,109381,1,5800,,,,,,,,,,,
lounge,51,3347,148000,1,5400,,,,,,,,,,,
lounge,62,3074,61000,1,8450,,,,,,,,,,,
pop,51,2343,39900,1,7900,,,,,,,,,,,
lounge,51,762,17000,1,9900,,,,,,,,,,,
lounge,62,3347,70340,1,6990,,,,,,,,,,,
pop,62,790,44000,1,8800,,,,,,,,,,,
lounge,51,609,21000,1,10900,,,,,,,,,,,
lounge,51,821,25922,1,9890,,,,,,,,,,,
pop,51,821,6700,1,8900,,,,,,,,,,,
lounge,51,701,20968,1,10500,,,,,,,,,,,
lounge,51,3013,80000,1,6500,,,,,,,,,,,
sport,51,4353,119000,1,5200,,,,,,,,,,,
pop,51,2374,54198,1,7800,,,,,,,,,,,
lounge,51,397,21276,1,10850,,,,,,,,,,,
lounge,51,4535,41500,1,4790,,,,,,,,,,,
pop,51,4322,76000,1,5500,,,,,,,,,,,
pop,62,1492,79000,1,8000,,,,,,,,,,,
lounge,62,2982,126003,1,5950,,,,,,,,,,,
lounge,51,1492,22404,1,8990,,,,,,,,,,,
lounge,51,852,53742,1,9290,,,,,,,,,,,
lounge,51,609,21000,1,10900,,,,,,,,,,,
lounge,51,821,33725,1,9890,,,,,,,,,,,
pop,51,670,22000,1,10490,,,,,,,,,,,
lounge,51,1521,28760,1,10300,,,,,,,,,,,
pop,51,4322,135000,1,4800,,,,,,,,,,,
sport,51,3684,137344,1,5500,,,,,,,,,,,
lounge,51,425,21248,1,10500,,,,,,,,,,,
lounge,51,366,20451,1,10850,,,,,,,,,,,
lounge,51,1096,28400,1,9900,,,,,,,,,,,
lounge,51,3227,95554,1,5900,,,,,,,,,,,
sport,73,4292,166716,1,4790,,,,,,,,,,,
lounge,51,762,39000,1,10200,,,,,,,,,,,
pop,51,4139,35151,1,6699,,,,,,,,,,,
lounge,51,670,37020,1,10900,,,,,,,,,,,
lounge,51,609,21000,1,10900,,,,,,,,,,,
lounge,51,821,30112,1,9890,,,,,,,,,,,
pop,51,731,25000,1,10490,,,,,,,,,,,
lounge,51,1492,23016,1,10000,,,,,,,,,,,
lounge,51,882,56779,1,10000,,,,,,,,,,,
lounge,51,2101,29897,1,8200,,,,,,,,,,,
lounge,51,425,15784,1,10800,,,,,,,,,,,
lounge,51,366,14366,1,10850,,,,,,,,,,,
pop,51,2769,72784,1,9890,,,,,,,,,,,
lounge,51,2647,50000,1,6900,,,,,,,,,,,
lounge,51,913,29000,1,8500,,,,,,,,,,,
sport,73,4414,104269,2,4999,,,,,,,,,,,
lounge,62,2892,99518,2,7990,,,,,,,,,,,
lounge,51,2861,23500,2,8200,,,,,,,,,,,
lounge,51,762,21000,1,10900,,,,,,,,,,,
pop,51,670,17000,1,10499,,,,,,,,,,,
lounge,51,487,17800,1,11100,,,,,,,,,,,
lounge,51,762,18609,1,10250,,,,,,,,,,,
pop,51,701,39700,1,8800,,,,,,,,,,,
pop,51,3653,85000,1,4990,,,,,,,,,,,
lounge,51,425,15350,1,10800,,,,,,,,,,,
lounge,51,397,19296,1,10950,,,,,,,,,,,
lounge,51,762,28200,1,10250,,,,,,,,,,,
lounge,51,3684,132000,1,5900,,,,,,,,,,,
pop,51,578,17000,1,10500,,,,,,,,,,,
pop,51,943,35481,1,8650,,,,,,,,,,,
lounge,51,762,20900,1,10550,,,,,,,,,,,
lounge,51,3774,149000,1,5499,,,,,,,,,,,
lounge,51,731,19244,1,10200,,,,,,,,,,,
pop,51,670,17000,1,10499,,,,,,,,,,,
pop,51,701,25800,1,8900,,,,,,,,,,,
lounge,51,670,19746,1,10950,,,,,,,,,,,
lounge,51,456,12872,1,10800,,,,,,,,,,,
pop,51,1797,23400,1,7800,,,,,,,,,,,
lounge,51,425,15817,1,10800,,,,,,,,,,,
lounge,51,397,18575,1,10950,,,,,,,,,,,
lounge,51,3197,51083,1,5880,,,,,,,,,,,
lounge,51,2162,56900,1,7200,,,,,,,,,,,
lounge,74,4566,78000,1,5800,,,,,,,,,,,
pop,51,3988,103000,1,5700,,,,,,,,,,,
pop,51,2313,106905,1,6990,,,,,,,,,,,
pop,51,3592,149000,1,4299,,,,,,,,,,,
lounge,51,701,27100,1,10300,,,,,,,,,,,
lounge,51,425,21459,1,10950,,,,,,,,,,,
lounge,51,456,10320,1,10800,,,,,,,,,,,
lounge,51,2070,85134,1,6900,,,,,,,,,,,
lounge,51,397,16087,1,10800,,,,,,,,,,,
lounge,51,397,18740,1,10950,,,,,,,,,,,
lounge,51,3197,51083,1,5880,,,,,,,,,,,
pop,51,790,25000,1,9900,,,,,,,,,,,
lounge,51,3439,124000,1,5990,,,,,,,,,,,
lounge,51,2496,83000,1,6900,,,,,,,,,,,
lounge,51,3684,97000,1,6500,,,,,,,,,,,
lounge,51,762,22020,1,9900,,,,,,,,,,,
lounge,51,456,17253,1,9890,,,,,,,,,,,
pop,51,2039,82990,1,7990,,,,,,,,,,,
pop,51,366,16380,1,9950,,,,,,,,,,,
lounge,51,762,17484,1,9900,,,,,,,,,,,
lounge,51,1644,120000,1,6499,,,,,,,,,,,
lounge,51,2404,100000,1,6700,,,,,,,,,,,
lounge,51,425,14403,1,10800,,,,,,,,,,,
lounge,51,425,23638,1,10650,,,,,,,,,,,
lounge,51,790,28070,1,8650,,,,,,,,,,,
lounge,51,1339,39000,1,10450,,,,,,,,,,,
pop,51,4139,98405,1,4490,,,,,,,,,,,
pop,51,913,7500,1,10500,,,,,,,,,,,
lounge,51,3500,95000,1,6999,,,,,,,,,,,
lounge,51,456,21000,1,10900,,,,,,,,,,,
lounge,51,762,22760,1,9790,,,,,,,,,,,
lounge,51,2527,136626,1,7000,,,,,,,,,,,
lounge,51,609,8377,1,10870,,,,,,,,,,,
lounge,51,762,12337,1,10700,,,,,,,,,,,
pop,51,1035,64000,1,8250,,,,,,,,,,,
lounge,74,4596,121000,1,5500,,,,,,,,,,,
lounge,74,425,18822,1,10500,,,,,,,,,,,
pop,51,974,12500,1,10500,,,,,,,,,,,
sport,51,3684,124490,2,4790,,,,,,,,,,,
lounge,51,1096,57000,2,7900,,,,,,,,,,,
lounge,51,4322,83000,2,5600,,,,,,,,,,,
lounge,51,2223,117000,2,7900,,,,,,,,,,,
pop,51,1005,15000,2,11000,,,,,,,,,,,
lounge,51,640,23951,2,9790,,,,,,,,,,,
pop,51,1066,46000,2,8450,,,,,,,,,,,
lounge,51,821,17185,1,10500,,,,,,,,,,,
lounge,51,701,20216,1,10500,,,,,,,,,,,
pop,51,1858,33000,1,9800,,,,,,,,,,,
lounge,51,425,11416,1,11000,,,,,,,,,,,
lounge,51,3074,116000,1,5800,,,,,,,,,,,
lounge,51,2251,117000,1,6500,,,,,,,,,,,
pop,51,4474,56779,1,4490,,,,,,,,,,,
pop,51,790,40000,1,8700,,,,,,,,,,,
sport,62,3439,86000,1,7500,,,,,,,,,,,
pop,73,3592,65000,1,6500,,,,,,,,,,,
pop,51,4077,125000,1,4900,,,,,,,,,,,
lounge,51,456,17253,1,9890,,,,,,,,,,,
sport,51,790,30000,1,10690,,,,,,,,,,,
lounge,51,2922,60600,1,9500,,,,,,,,,,,
lounge,51,425,17770,1,10790,,,,,,,,,,,
lounge,51,4018,102841,1,6000,,,,,,,,,,,
pop,51,487,12811,1,9900,,,,,,,,,,,
lounge,51,425,7778,1,11000,,,,,,,,,,,
lounge,51,3774,119000,1,4800,,,,,,,,,,,
lounge,51,3592,111000,1,5499,,,,,,,,,,,
pop,51,1066,29176,1,7950,,,,,,,,,,,
lounge,62,3227,79000,1,8500,,,,,,,,,,,
lounge,51,3957,117000,1,8500,,,,,,,,,,,
pop,51,2616,99999,1,7500,,,,,,,,,,,
pop,51,3197,98000,1,5900,,,,,,,,,,,
lounge,51,762,25100,1,10900,,,,,,,,,,,
lounge,51,2588,52000,1,7450,,,,,,,,,,,
lounge,51,670,33000,1,10470,,,,,,,,,,,
pop,51,366,21000,1,9900,,,,,,,,,,,
lounge,51,640,37428,1,9400,,,,,,,,,,,
pop,51,3957,95200,1,5300,,,,,,,,,,,
lounge,51,2953,121000,1,7495,,,,,,,,,,,
lounge,51,4169,100000,1,4300,,,,,,,,,,,
sport,51,2588,51000,1,7900,,,,,,,,,,,
lounge,51,762,17000,1,9850,,,,,,,,,,,
pop,51,1400,25315,1,8200,,,,,,,,,,,
lounge,62,3074,129000,1,5799,,,,,,,,,,,
pop,51,1370,91743,1,7450,,,,,,,,,,,
lounge,51,4414,140000,1,5500,,,,,,,,,,,
lounge,51,670,40000,1,9970,,,,,,,,,,,
lounge,51,425,19201,1,10800,,,,,,,,,,,
pop,51,1766,45000,1,8000,,,,,,,,,,,
lounge,51,670,32717,1,9400,,,,,,,,,,,
lounge,51,397,14994,1,10950,,,,,,,,,,,
lounge,51,2192,86500,1,6800,,,,,,,,,,,
sport,51,3227,66000,1,5800,,,,,,,,,,,
lounge,51,762,60000,2,9400,,,,,,,,,,,
lounge,51,821,19000,2,10050,,,,,,,,,,,
lounge,51,2251,62061,2,7400,,,,,,,,,,,
lounge,51,456,19834,1,9100,,,,,,,,,,,
pop,51,4383,30000,1,6900,,,,,,,,,,,
lounge,51,1858,64000,1,7700,,,,,,,,,,,
lounge,51,670,33000,1,10470,,,,,,,,,,,
lounge,51,790,33232,1,9900,,,,,,,,,,,
lounge,51,701,20300,1,10700,,,,,,,,,,,
lounge,51,701,32633,1,8900,,,,,,,,,,,
lounge,51,3258,49204,1,6900,,,,,,,,,,,
lounge,51,2831,26000,1,7450,,,,,,,,,,,
lounge,51,2192,86500,1,6800,,,,,,,,,,,
lounge,51,731,23000,1,9950,,,,,,,,,,,
sport,51,3500,60000,2,6900,,,,,,,,,,,
lounge,51,762,16000,2,9850,,,,,,,,,,,
pop,51,366,10295,1,10100,,,,,,,,,,,
lounge,51,456,13238,1,9100,,,,,,,,,,,
lounge,51,701,28975,1,9700,,,,,,,,,,,
lounge,51,701,19000,1,9999,,,,,,,,,,,
pop,51,731,42990,1,9300,,,,,,,,,,,
lounge,51,425,20066,1,10950,,,,,,,,,,,
lounge,51,790,18840,1,8900,,,,,,,,,,,
lounge,51,640,38722,1,8900,,,,,,,,,,,
sport,62,3044,98000,1,6000,,,,,,,,,,,
lounge,51,3623,99000,1,5800,,,,,,,,,,,
pop,51,2009,73000,1,8700,,,,,,,,,,,
lounge,51,3378,130000,1,6100,,,,,,,,,,,
lounge,51,852,37657,1,10400,,,,,,,,,,,
pop,51,4566,86000,1,5450,,,,,,,,,,,
lounge,51,2527,58247,1,8500,,,,,,,,,,,
lounge,51,790,34963,1,9700,,,,,,,,,,,
lounge,51,3988,31487,1,5900,,,,,,,,,,,
lounge,51,1127,37000,1,10500,,,,,,,,,,,
lounge,51,2192,69000,1,7500,,,,,,,,,,,
lounge,51,790,30365,1,8650,,,,,,,,,,,
lounge,51,640,35983,1,9400,,,,,,,,,,,
pop,51,2647,62000,1,6500,,,,,,,,,,,
sport,62,2953,102800,1,6600,,,,,,,,,,,
lounge,51,790,29220,1,8650,,,,,,,,,,,
lounge,51,1308,31750,1,9800,,,,,,,,,,,
pop,51,731,47725,1,10350,,,,,,,,,,,
lounge,51,1521,27206,1,9950,,,,,,,,,,,
lounge,51,701,20000,1,9800,,,,,,,,,,,
pop,51,2496,89000,1,8800,,,,,,,,,,,
lounge,51,790,28191,1,9490,,,,,,,,,,,
lounge,51,2251,73453,4,7300,,,,,,,,,,,
pop,51,366,16500,1,10500,,,,,,,,,,,
pop,51,366,11000,1,9900,,,,,,,,,,,
lounge,51,609,31801,1,9400,,,,,,,,,,,
lounge,51,790,47524,1,9900,,,,,,,,,,,
lounge,51,3258,71000,1,7500,,,,,,,,,,,
lounge,51,366,13180,1,10100,,,,,,,,,,,
lounge,51,821,29560,1,10400,,,,,,,,,,,
pop,62,2282,117000,1,7100,,,,,,,,,,,
pop,51,1066,64700,1,8800,,,,,,,,,,,
lounge,51,762,33245,1,10900,,,,,,,,,,,
lounge,51,425,18641,1,10500,,,,,,,,,,,
lounge,51,1400,21000,1,9590,,,,,,,,,,,
lounge,51,487,2790,1,10400,,,,,,,,,,,
lounge,51,3197,85373,1,5900,,,,,,,,,,,
lounge,51,640,5591,1,10500,,,,,,,,,,,
lounge,51,1766,66000,1,8900,,,,,,,,,,,
lounge,51,701,35098,1,8900,,,,,,,,,,,
lounge,51,1035,33000,1,9999,,,,,,,,,,,
lounge,62,3013,73799,1,5500,,,,,,,,,,,
lounge,51,4292,65000,1,5000,,,,,,,,,,,
lounge,51,790,29395,1,8650,,,,,,,,,,,
pop,62,3562,87000,1,3990,,,,,,,,,,,
lounge,51,821,28000,1,9900,,,,,,,,,,,
pop,51,1644,41195,1,8500,,,,,,,,,,,
lounge,51,456,22000,1,10490,,,,,,,,,,,
pop,51,3409,118000,1,5500,,,,,,,,,,,
lounge,51,821,26333,1,9800,,,,,,,,,,,
pop,62,2892,90211,2,6800,,,,,,,,,,,
lounge,51,640,5591,1,10500,,,,,,,,,,,
lounge,51,670,35016,1,9400,,,,,,,,,,,
lounge,51,3623,97000,1,5300,,,,,,,,,,,
lounge,51,2678,93000,1,5900,,,,,,,,,,,
sport,51,3347,86000,1,5999,,,,,,,,,,,
lounge,51,821,29370,1,10400,,,,,,,,,,,
lounge,51,2131,79000,1,8190,,,,,,,,,,,
lounge,51,3470,71500,1,6700,,,,,,,,,,,
sport,73,4292,172000,1,4500,,,,,,,,,,,
lounge,51,762,41827,1,9500,,,,,,,,,,,
lounge,51,1886,59800,1,7900,,,,,,,,,,,
lounge,62,3227,152577,1,6190,,,,,,,,,,,
lounge,51,640,5591,1,10500,,,,,,,,,,,
lounge,51,670,32855,1,9400,,,,,,,,,,,
pop,51,943,55000,1,7500,,,,,,,,,,,
pop,51,1492,83063,1,7450,,,,,,,,,,,
pop,51,366,25955,1,10390,,,,,,,,,,,
lounge,51,1858,42000,2,8400,,,,,,,,,,,
lounge,51,2496,60000,2,6490,,,,,,,,,,,
pop,51,790,45012,2,8500,,,,,,,,,,,
lounge,51,2374,100000,1,5900,,,,,,,,,,,
lounge,51,762,19785,1,9500,,,,,,,,,,,
lounge,51,731,26521,1,10500,,,,,,,,,,,
lounge,51,456,21907,1,10800,,,,,,,,,,,
lounge,51,2831,41000,1,7900,,,,,,,,,,,
pop,51,456,23000,1,9970,,,,,,,,,,,
lounge,51,701,41740,1,9400,,,,,,,,,,,
pop,51,1066,64500,1,7900,,,,,,,,,,,
lounge,51,456,13716,1,10900,,,,,,,,,,,
pop,51,790,32130,1,10900,,,,,,,,,,,
pop,51,4200,131000,1,4500,,,,,,,,,,,
pop,51,790,52274,1,8500,,,,,,,,,,,
lounge,51,1035,40000,1,8900,,,,,,,,,,,
pop,51,1492,91232,1,7450,,,,,,,,,,,
lounge,51,425,17300,1,9900,,,,,,,,,,,
pop,51,2009,58644,1,7390,,,,,,,,,,,
lounge,51,3835,100000,1,5200,,,,,,,,,,,
pop,51,397,19000,1,9970,,,,,,,,,,,
lounge,51,548,12000,1,9990,,,,,,,,,,,
lounge,51,670,43814,1,9400,,,,,,,,,,,
lounge,51,366,9248,1,10000,,,,,,,,,,,
pop,51,2435,130000,1,5900,,,,,,,,,,,
lounge,51,762,10400,1,9900,,,,,,,,,,,
lounge,51,1370,27512,1,9490,,,,,,,,,,,
sport,51,4414,177000,1,5400,,,,,,,,,,,
lounge,51,1005,47800,1,10300,,,,,,,,,,,
lounge,51,3197,114500,1,7790,,,,,,,,,,,
lounge,51,1766,56205,1,9300,,,,,,,,,,,
sport,51,3712,130000,2,6000,,,,,,,,,,,
lounge,51,4049,111498,4,6500,,,,,,,,,,,
sport,73,4322,128000,1,4400,,,,,,,,,,,
pop,51,397,18000,1,9970,,,,,,,,,,,
lounge,51,397,17081,1,10900,,,,,,,,,,,
lounge,51,670,41260,1,9400,,,,,,,,,,,
lounge,51,366,9248,1,10000,,,,,,,,,,,
lounge,51,1644,58243,1,9300,,,,,,,,,,,
lounge,51,2861,84500,1,6500,,,,,,,,,,,
pop,51,4322,132848,1,4900,,,,,,,,,,,
lounge,51,3865,120000,1,4500,,,,,,,,,,,
lounge,51,701,24446,1,10399,,,,,,,,,,,
lounge,51,3258,77000,1,6900,,,,,,,,,,,
pop,51,1370,106074,1,7450,,,,,,,,,,,
sport,58,3684,62000,1,5800,,,,,,,,,,,
lounge,51,3592,83721,1,5990,,,,,,,,,,,
lounge,51,670,21000,1,10800,,,,,,,,,,,
pop,51,4627,148000,1,3500,,,,,,,,,,,
lounge,51,1492,30795,1,10700,,,,,,,,,,,
lounge,51,670,36832,1,8900,,,,,,,,,,,
lounge,51,1644,47500,1,9500,,,,,,,,,,,
lounge,62,3347,94000,1,5800,,,,,,,,,,,
lounge,51,4230,103518,1,4500,,,,,,,,,,,
pop,51,2192,98000,1,6900,,,,,,,,,,,
pop,73,4658,165000,2,3600,,,,,,,,,,,
lounge,51,4658,56779,2,10900,,,,,,,,,,,
pop,51,2861,77550,1,7100,,,,,,,,,,,
pop,51,1492,88639,1,7450,,,,,,,,,,,
pop,51,762,18000,1,8399,,,,,,,,,,,
lounge,51,2162,71000,1,6890,,,,,,,,,,,
lounge,51,2496,75000,1,6900,,,,,,,,,,,
lounge,51,397,16100,1,9970,,,,,,,,,,,
lounge,51,1613,65453,1,9900,,,,,,,,,,,
lounge,51,670,35804,1,8900,,,,,,,,,,,
lounge,51,366,9248,1,10000,,,,,,,,,,,
lounge,62,2922,99400,1,5700,,,,,,,,,,,
lounge,51,397,15042,1,10800,,,,,,,,,,,
pop,51,2739,84000,1,7300,,,,,,,,,,,
lounge,51,790,32000,1,9490,,,,,,,,,,,
lounge,51,762,36463,1,10900,,,,,,,,,,,
lounge,51,3684,78000,1,6500,,,,,,,,,,,
lounge,51,2009,35552,1,8900,,,,,,,,,,,
lounge,51,2739,93000,1,8800,,,,,,,,,,,
lounge,51,456,9097,1,10700,,,,,,,,,,,
lounge,51,790,34000,1,10500,,,,,,,,,,,
lounge,51,790,26210,1,8750,,,,,,,,,,,
lounge,62,3013,90000,1,7300,,,,,,,,,,,
lounge,51,640,33141,1,8900,,,,,,,,,,,
lounge,51,366,9248,1,10000,,,,,,,,,,,
pop,51,4414,201000,1,2500,,,,,,,,,,,
lounge,51,1978,59000,1,7190,,,,,,,,,,,
pop,51,2831,83000,1,6800,,,,,,,,,,,
lounge,51,731,10400,1,10800,,,,,,,,,,,
lounge,51,731,17000,1,9100,,,,,,,,,,,
lounge,51,2831,50247,1,7380,,,,,,,,,,,
lounge,51,3227,78000,1,7800,,,,,,,,,,,
lounge,51,1858,60000,1,8900,,,,,,,,,,,
pop,51,731,34300,1,9490,,,,,,,,,,,
lounge,51,790,29340,1,8650,,,,,,,,,,,
lounge,51,701,29000,1,10700,,,,,,,,,,,
pop,51,517,18000,1,10900,,,,,,,,,,,
lounge,51,640,37307,1,8900,,,,,,,,,,,
lounge,51,1096,50290,1,7100,,,,,,,,,,,
lounge,51,701,19000,1,9499,,,,,,,,,,,
pop,51,1978,53243,1,8990,,,,,,,,,,,
lounge,51,1613,12400,1,10500,,,,,,,,,,,
lounge,51,731,26200,1,10800,,,,,,,,,,,
lounge,51,731,15000,1,9100,,,,,,,,,,,
lounge,51,762,9900,1,10950,,,,,,,,,,,
sport,62,2800,6200,1,7500,,,,,,,,,,,
pop,51,762,15600,1,9900,,,,,,,,,,,
pop,73,3623,133000,1,6300,,,,,,,,,,,
lounge,51,821,29520,1,10400,,,,,,,,,,,
sport,51,4139,87000,1,5900,,,,,,,,,,,
pop,51,1766,55519,1,8700,,,,,,,,,,,
lounge,51,701,38315,1,9400,,,,,,,,,,,
lounge,51,366,9248,1,10000,,,,,,,,,,,
lounge,51,1066,58600,1,8500,,,,,,,,,,,
lounge,51,609,47989,1,9800,,,,,,,,,,,
lounge,51,670,52400,1,8800,,,,,,,,,,,
lounge,51,670,21000,1,10800,,,,,,,,,,,
lounge,51,3835,96700,1,6300,,,,,,,,,,,
lounge,51,821,14500,1,10600,,,,,,,,,,,
lounge,51,790,40100,1,10200,,,,,,,,,,,
pop,51,701,13947,1,9700,,,,,,,,,,,
lounge,51,2192,106000,1,7500,,,,,,,,,,,
sport,51,3470,139750,3,5800,,,,,,,,,,,
pop,51,731,56000,3,8900,,,,,,,,,,,
pop,51,2070,97677,1,7790,,,,,,,,,,,
lounge,51,670,23458,1,9400,,,,,,,,,,,
lounge,51,366,9248,1,10000,,,,,,,,,,,
pop,51,2404,85000,1,6499,,,,,,,,,,,
lounge,51,609,45053,1,9600,,,,,,,,,,,
lounge,51,3227,68000,1,7450,,,,,,,,,,,
pop,51,731,17400,1,10800,,,,,,,,,,,
lounge,51,2466,47524,1,7950,,,,,,,,,,,
sport,62,3074,112117,1,8900,,,,,,,,,,,
pop,62,1797,32000,1,10500,,,,,,,,,,,
lounge,51,456,13000,1,10490,,,,,,,,,,,
lounge,51,3347,138000,2,4600,,,,,,,,,,,
pop,51,4169,143253,2,3900,,,,,,,,,,,
pop,51,2404,80613,2,6900,,,,,,,,,,,
lounge,51,3227,140000,2,4800,,,,,,,,,,,
lounge,51,609,34782,2,8900,,,,,,,,,,,
lounge,51,366,9248,1,10000,,,,,,,,,,,
sport,51,4261,105000,1,4900,,,,,,,,,,,
lounge,51,670,36900,1,8900,,,,,,,,,,,
lounge,51,366,12000,1,9990,,,,,,,,,,,
pop,51,1492,59000,1,7500,,,,,,,,,,,
lounge,51,1492,56779,1,10900,,,,,,,,,,,
lounge,51,4200,110000,1,4999,,,,,,,,,,,
lounge,51,425,19570,1,10500,,,,,,,,,,,
lounge,51,790,33869,1,9490,,,,,,,,,,,
