Member_number,Date,itemDescription
1237,2015-04-09,white bread
1237,2015-04-09,tropical fruit
1237,2015-04-09,sugar
1380,2015-04-09,rolls/buns
1380,2015-04-09,long life bakery product
2087,2015-04-09,tropical fruit
2087,2015-04-09,whole milk
2087,2015-04-09,brown bread
2087,2015-04-09,pastry
2359,2015-04-09,other vegetables
2359,2015-04-09,chocolate
2782,2015-04-09,cream cheese
2782,2015-04-09,tropical fruit
2782,2015-04-09,bottled water
2782,2015-04-09,soda
2782,2015-04-09,specialty bar
3054,2015-04-09,white wine
3054,2015-04-09,whole milk
3054,2015-04-09,misc. beverages
3069,2015-04-09,mustard
3069,2015-04-09,whole milk
3069,2015-04-09,tropical fruit
3069,2015-04-09,whole milk
3124,2015-04-09,citrus fruit
3124,2015-04-09,whole milk
3124,2015-04-09,rolls/buns
3236,2015-04-09,finished products
3236,2015-04-09,rolls/buns
3399,2015-04-09,sausage
3399,2015-04-09,other vegetables
3399,2015-04-09,fruit/vegetable juice
3621,2015-04-09,berries
3621,2015-04-09,root vegetables
3980,2015-04-09,yogurt
3980,2015-04-09,citrus fruit
3980,2015-04-09,pastry
4148,2015-04-09,canned beer
4148,2015-04-09,soda
4148,2015-04-09,newspapers
4537,2015-04-09,sausage
4537,2015-04-09,grapes
4546,2015-04-09,beef
4546,2015-04-09,pip fruit
4677,2015-04-09,detergent
4677,2015-04-09,rolls/buns
4789,2015-04-09,beef
4789,2015-04-09,liquor
4789,2015-04-09,specialty cheese
1038,2015-04-10,other vegetables
1038,2015-04-10,specialty chocolate
1324,2015-04-10,specialty chocolate
1324,2015-04-10,whole milk
1357,2015-04-10,soda
1357,2015-04-10,brown bread
1888,2015-04-10,ham
1888,2015-04-10,whole milk
2074,2015-04-10,citrus fruit
2074,2015-04-10,canned beer
2074,2015-04-10,waffles
2074,2015-04-10,chocolate
2074,2015-04-10,dish cleaner
2101,2015-04-10,citrus fruit
2101,2015-04-10,onions
2233,2015-04-10,whole milk
2233,2015-04-10,bottled beer
2291,2015-04-10,grapes
2291,2015-04-10,canned fish
2492,2015-04-10,frankfurter
2492,2015-04-10,frozen vegetables
2719,2015-04-10,other vegetables
2719,2015-04-10,whole milk
2781,2015-04-10,bottled beer
2781,2015-04-10,cream cheese
2781,2015-04-10,chocolate
2809,2015-04-10,whole milk
2809,2015-04-10,pork
2809,2015-04-10,other vegetables
2809,2015-04-10,domestic eggs
2877,2015-04-10,pip fruit
2877,2015-04-10,tropical fruit
2877,2015-04-10,waffles
2877,2015-04-10,root vegetables
3082,2015-04-10,root vegetables
3082,2015-04-10,pip fruit
3154,2015-04-10,napkins
3154,2015-04-10,root vegetables
3154,2015-04-10,sliced cheese
3294,2015-04-10,dessert
3294,2015-04-10,onions
4187,2015-04-10,whole milk
4187,2015-04-10,specialty cheese
4252,2015-04-10,turkey
4252,2015-04-10,frozen potato products
4252,2015-04-10,butter
4252,2015-04-10,frozen dessert
4636,2015-04-10,frankfurter
4636,2015-04-10,ham
4636,2015-04-10,tropical fruit
4636,2015-04-10,misc. beverages
4636,2015-04-10,tropical fruit
4636,2015-04-10,photo/film
4636,2015-04-10,specialty chocolate
4636,2015-04-10,frozen fish
4717,2015-04-10,tropical fruit
4717,2015-04-10,yogurt
4717,2015-04-10,brown bread
4717,2015-04-10,shopping bags
4937,2015-04-10,chicken
4937,2015-04-10,coffee
4937,2015-04-10,newspapers
1204,2015-04-11,grapes
1204,2015-04-11,chicken
1204,2015-04-11,bottled beer
1204,2015-04-11,root vegetables
1275,2015-04-11,salt
1275,2015-04-11,citrus fruit
1567,2015-04-11,ham
1567,2015-04-11,frankfurter
1567,2015-04-11,bottled water
1567,2015-04-11,shopping bags
1567,2015-04-11,specialty cheese
1595,2015-04-11,pip fruit
1595,2015-04-11,soda
1627,2015-04-11,rolls/buns
1627,2015-04-11,pastry
1665,2015-04-11,whole milk
1665,2015-04-11,UHT-milk
1949,2015-04-11,soda
1949,2015-04-11,rolls/buns
1949,2015-04-11,napkins
1949,2015-04-11,salt
2256,2015-04-11,female sanitary products
2256,2015-04-11,curd
2261,2015-04-11,whole milk
2261,2015-04-11,onions
2580,2015-04-11,sausage
2580,2015-04-11,chicken
2613,2015-04-11,soda
2613,2015-04-11,yogurt
2613,2015-04-11,white bread
2688,2015-04-11,sausage
2688,2015-04-11,canned vegetables
2731,2015-04-11,ice cream
2731,2015-04-11,grapes
2738,2015-04-11,canned beer
2738,2015-04-11,whole milk
2738,2015-04-11,rolls/buns
2900,2015-04-11,pastry
2900,2015-04-11,bottled water
2900,2015-04-11,dishes
2900,2015-04-11,whole milk
2900,2015-04-11,canned beer
3092,2015-04-11,dessert
3092,2015-04-11,whipped/sour cream
3402,2015-04-11,frozen meals
3402,2015-04-11,mayonnaise
3402,2015-04-11,whipped/sour cream
3509,2015-04-11,beef
3509,2015-04-11,citrus fruit
3509,2015-04-11,tropical fruit
3509,2015-04-11,coffee
3509,2015-04-11,fruit/vegetable juice
3509,2015-04-11,specialty chocolate
3898,2015-04-11,ham
3898,2015-04-11,pork
3898,2015-04-11,soda
4020,2015-04-11,yogurt
4020,2015-04-11,bottled beer
4020,2015-04-11,napkins
4127,2015-04-11,canned beer
4127,2015-04-11,butter
4127,2015-04-11,margarine
4127,2015-04-11,domestic eggs
4145,2015-04-11,misc. beverages
4145,2015-04-11,rolls/buns
4326,2015-04-11,soda
4326,2015-04-11,yogurt
4348,2015-04-11,beverages
4348,2015-04-11,tropical fruit
4348,2015-04-11,rolls/buns
4348,2015-04-11,curd cheese
4440,2015-04-11,chicken
4440,2015-04-11,root vegetables
4727,2015-04-11,rolls/buns
4727,2015-04-11,root vegetables
4727,2015-04-11,yogurt
1859,2015-04-12,canned beer
1859,2015-04-12,beef
2436,2015-04-12,frankfurter
2436,2015-04-12,zwieback
2436,2015-04-12,other vegetables
2436,2015-04-12,liquor
2436,2015-04-12,bottled water
2957,2015-04-12,frankfurter
2957,2015-04-12,bottled beer
3250,2015-04-12,tropical fruit
3250,2015-04-12,whole milk
3250,2015-04-12,liquor
3441,2015-04-12,other vegetables
3441,2015-04-12,frankfurter
3441,2015-04-12,root vegetables
3441,2015-04-12,newspapers
3581,2015-04-12,tropical fruit
3581,2015-04-12,rolls/buns
3666,2015-04-12,canned beer
3666,2015-04-12,specialty chocolate
3819,2015-04-12,pork
3819,2015-04-12,processed cheese
3819,2015-04-12,beef
3819,2015-04-12,white wine
3819,2015-04-12,soda
3819,2015-04-12,packaged fruit/vegetables
3819,2015-04-12,sliced cheese
3819,2015-04-12,beverages
3959,2015-04-12,white bread
3959,2015-04-12,popcorn
4530,2015-04-12,margarine
4530,2015-04-12,fruit/vegetable juice
4745,2015-04-12,bottled beer
4745,2015-04-12,rolls/buns
4745,2015-04-12,soda
4831,2015-04-12,brown bread
4831,2015-04-12,frozen meals
4831,2015-04-12,herbs
4831,2015-04-12,whole milk
4831,2015-04-12,hard cheese
4914,2015-04-12,frankfurter
4914,2015-04-12,beef
1165,2015-04-13,pork
1165,2015-04-13,packaged fruit/vegetables
1165,2015-04-13,chocolate
1226,2015-04-13,hard cheese
1226,2015-04-13,pastry
1252,2015-04-13,pork
1252,2015-04-13,turkey
1252,2015-04-13,pot plants
1252,2015-04-13,whole milk
1252,2015-04-13,soda
1252,2015-04-13,dishes
1265,2015-04-13,pork
1265,2015-04-13,yogurt
1321,2015-04-13,bottled beer
1321,2015-04-13,soda
1349,2015-04-13,bottled water
1349,2015-04-13,whole milk
1349,2015-04-13,domestic eggs
1349,2015-04-13,domestic eggs
1833,2015-04-13,whipped/sour cream
1833,2015-04-13,tropical fruit
2665,2015-04-13,frozen potato products
2665,2015-04-13,detergent
3074,2015-04-13,whole milk
3074,2015-04-13,margarine
3339,2015-04-13,meat
3339,2015-04-13,margarine
3353,2015-04-13,sausage
3353,2015-04-13,yogurt
3353,2015-04-13,baking powder
3405,2015-04-13,beef
3405,2015-04-13,ice cream
3405,2015-04-13,rolls/buns
3405,2015-04-13,pip fruit
3405,2015-04-13,whole milk
3405,2015-04-13,fruit/vegetable juice
3405,2015-04-13,UHT-milk
3629,2015-04-13,chicken
3629,2015-04-13,tropical fruit
3885,2015-04-13,chocolate
3885,2015-04-13,seasonal products
3885,2015-04-13,rolls/buns
4177,2015-04-13,frankfurter
4177,2015-04-13,whole milk
4177,2015-04-13,grapes
4177,2015-04-13,butter
4177,2015-04-13,semi-finished bread
4357,2015-04-13,sausage
4357,2015-04-13,chicken
4357,2015-04-13,canned beer
4357,2015-04-13,pip fruit
4389,2015-04-13,white wine
4389,2015-04-13,whole milk
4809,2015-04-13,zwieback
4809,2015-04-13,curd
4892,2015-04-13,citrus fruit
4892,2015-04-13,make up remover
1001,2015-04-14,beef
1001,2015-04-14,white bread
1240,2015-04-14,frozen vegetables
1240,2015-04-14,sausage
1240,2015-04-14,whole milk
1240,2015-04-14,frozen vegetables
1240,2015-04-14,rolls/buns
1240,2015-04-14,other vegetables
1240,2015-04-14,oil
1240,2015-04-14,frozen fish
1240,2015-04-14,baking powder
2193,2015-04-14,beef
2193,2015-04-14,bottled beer
2193,2015-04-14,specialty chocolate
2193,2015-04-14,yogurt
2193,2015-04-14,whole milk
2336,2015-04-14,chewing gum
2336,2015-04-14,other vegetables
2344,2015-04-14,pip fruit
2344,2015-04-14,onions
2344,2015-04-14,frozen fish
2344,2015-04-14,meat
2344,2015-04-14,semi-finished bread
2344,2015-04-14,root vegetables
2344,2015-04-14,bottled water
2344,2015-04-14,whipped/sour cream
2760,2015-04-14,other vegetables
2760,2015-04-14,soda
2977,2015-04-14,other vegetables
2977,2015-04-14,chicken
2977,2015-04-14,popcorn
2977,2015-04-14,margarine
3280,2015-04-14,beef
3280,2015-04-14,tropical fruit
3755,2015-04-14,root vegetables
3755,2015-04-14,hygiene articles
3811,2015-04-14,red/blush wine
3811,2015-04-14,sausage
3811,2015-04-14,soda
3811,2015-04-14,whole milk
3811,2015-04-14,rolls/buns
4352,2015-04-14,frankfurter
4352,2015-04-14,sausage
4352,2015-04-14,yogurt
4352,2015-04-14,soda
4352,2015-04-14,coffee
4633,2015-04-14,bottled water
4633,2015-04-14,ham
4633,2015-04-14,brown bread
4633,2015-04-14,yogurt
4708,2015-04-14,meat
4708,2015-04-14,other vegetables
4708,2015-04-14,canned beer
1148,2015-04-15,yogurt
1148,2015-04-15,sausage
1148,2015-04-15,whole milk
1148,2015-04-15,shopping bags
1148,2015-04-15,white bread
1148,2015-04-15,dog food
1148,2015-04-15,baking powder
1148,2015-04-15,sliced cheese
1398,2015-04-15,sausage
1398,2015-04-15,sausage
1398,2015-04-15,whole milk
1398,2015-04-15,canned fruit
1398,2015-04-15,cake bar
1666,2015-04-15,sausage
1666,2015-04-15,long life bakery product
1776,2015-04-15,bottled water
1776,2015-04-15,canned beer
1788,2015-04-15,sausage
1788,2015-04-15,canned beer
2131,2015-04-15,beef
2131,2015-04-15,yogurt
2378,2015-04-15,whipped/sour cream
2378,2015-04-15,pork
2378,2015-04-15,pastry
2378,2015-04-15,soda
2502,2015-04-15,soda
2502,2015-04-15,salt
2502,2015-04-15,sauces
2502,2015-04-15,curd
2502,2015-04-15,sugar
2502,2015-04-15,margarine
3328,2015-04-15,ham
3328,2015-04-15,napkins
3328,2015-04-15,rice
3598,2015-04-15,pork
3598,2015-04-15,UHT-milk
3604,2015-04-15,frozen fish
3604,2015-04-15,bottled water
3701,2015-04-15,shopping bags
3701,2015-04-15,long life bakery product
3752,2015-04-15,sweet spreads
3752,2015-04-15,berries
3752,2015-04-15,whole milk
3752,2015-04-15,yogurt
3752,2015-04-15,pip fruit
3752,2015-04-15,root vegetables
3752,2015-04-15,root vegetables
3752,2015-04-15,specialty chocolate
3752,2015-04-15,softener
3793,2015-04-15,citrus fruit
3793,2015-04-15,whole milk
3893,2015-04-15,root vegetables
3893,2015-04-15,whole milk
4119,2015-04-15,beef
4119,2015-04-15,whole milk
4152,2015-04-15,fruit/vegetable juice
4152,2015-04-15,sausage
4152,2015-04-15,whole milk
4152,2015-04-15,pip fruit
4445,2015-04-15,canned beer
4445,2015-04-15,flour
1062,2015-04-16,tropical fruit
1062,2015-04-16,whole milk
1062,2015-04-16,other vegetables
1062,2015-04-16,long life bakery product
1502,2015-04-16,butter milk
1502,2015-04-16,sausage
1502,2015-04-16,UHT-milk
1502,2015-04-16,yogurt
1502,2015-04-16,canned beer
1800,2015-04-16,chicken
1800,2015-04-16,bottled water
1800,2015-04-16,brown bread
1800,2015-04-16,hygiene articles
2139,2015-04-16,frankfurter
2139,2015-04-16,citrus fruit
2139,2015-04-16,yogurt
2139,2015-04-16,frozen vegetables
2179,2015-04-16,dessert
2179,2015-04-16,coffee
2179,2015-04-16,whole milk
2179,2015-04-16,cream cheese
2212,2015-04-16,citrus fruit
2212,2015-04-16,pastry
2212,2015-04-16,salt
2325,2015-04-16,pip fruit
2325,2015-04-16,soda
2325,2015-04-16,jam
2377,2015-04-16,frankfurter
2377,2015-04-16,butter
2377,2015-04-16,mustard
2883,2015-04-16,oil
2883,2015-04-16,yogurt
3202,2015-04-16,yogurt
3202,2015-04-16,newspapers
3430,2015-04-16,fruit/vegetable juice
3430,2015-04-16,candy
3430,2015-04-16,hygiene articles
3465,2015-04-16,butter milk
3465,2015-04-16,white wine
3947,2015-04-16,rolls/buns
3947,2015-04-16,packaged fruit/vegetables
3977,2015-04-16,whole milk
3977,2015-04-16,yogurt
4268,2015-04-16,white bread
4268,2015-04-16,nuts/prunes
4902,2015-04-16,UHT-milk
4902,2015-04-16,whole milk
1379,2015-04-17,pastry
1379,2015-04-17,cream cheese
1832,2015-04-17,whipped/sour cream
1832,2015-04-17,tropical fruit
1832,2015-04-17,specialty chocolate
1832,2015-04-17,flour
1847,2015-04-17,dessert
1847,2015-04-17,rolls/buns
2089,2015-04-17,canned beer
2089,2015-04-17,grapes
2089,2015-04-17,UHT-milk
2089,2015-04-17,brown bread
2219,2015-04-17,other vegetables
2219,2015-04-17,beverages
2393,2015-04-17,onions
2393,2015-04-17,grapes
2393,2015-04-17,yogurt
2393,2015-04-17,tropical fruit
2393,2015-04-17,whole milk
2393,2015-04-17,salty snack
2393,2015-04-17,root vegetables
2393,2015-04-17,frozen dessert
2393,2015-04-17,whipped/sour cream
2653,2015-04-17,brown bread
2653,2015-04-17,candy
2653,2015-04-17,chocolate
2999,2015-04-17,beef
2999,2015-04-17,canned beer
3617,2015-04-17,beef
3617,2015-04-17,other vegetables
4411,2015-04-17,meat
4411,2015-04-17,pip fruit
4411,2015-04-17,beverages
4411,2015-04-17,soda
4456,2015-04-17,soda
4456,2015-04-17,other vegetables
4456,2015-04-17,dishes
4505,2015-04-17,tropical fruit
4505,2015-04-17,dishes
4505,2015-04-17,other vegetables
4940,2015-04-17,liquor
4940,2015-04-17,cream
4940,2015-04-17,coffee
1497,2015-04-18,sausage
1497,2015-04-18,liquor (appetizer)
1497,2015-04-18,coffee
1547,2015-04-18,pickled vegetables
1547,2015-04-18,soda
1574,2015-04-18,other vegetables
1574,2015-04-18,whipped/sour cream
1743,2015-04-18,sliced cheese
1743,2015-04-18,dessert
1743,2015-04-18,cream cheese
1767,2015-04-18,meat
1767,2015-04-18,rolls/buns
1768,2015-04-18,butter milk
1768,2015-04-18,long life bakery product
1904,2015-04-18,whole milk
1904,2015-04-18,yogurt
1930,2015-04-18,pork
1930,2015-04-18,mayonnaise
2467,2015-04-18,light bulbs
2467,2015-04-18,yogurt
2699,2015-04-18,other vegetables
2699,2015-04-18,whole milk
2805,2015-04-18,coffee
2805,2015-04-18,packaged fruit/vegetables
2805,2015-04-18,bottled water
2805,2015-04-18,pastry
2857,2015-04-18,whole milk
2857,2015-04-18,tropical fruit
2857,2015-04-18,liquor (appetizer)
2857,2015-04-18,soda
2879,2015-04-18,hair spray
2879,2015-04-18,chocolate
2879,2015-04-18,rolls/buns
3212,2015-04-18,ham
3212,2015-04-18,whole milk
3268,2015-04-18,dessert
3268,2015-04-18,margarine
3443,2015-04-18,chicken
3443,2015-04-18,pip fruit
4078,2015-04-18,berries
4078,2015-04-18,shopping bags
4147,2015-04-18,canned beer
4147,2015-04-18,flour
4147,2015-04-18,newspapers
4228,2015-04-18,tropical fruit
4228,2015-04-18,cooking chocolate
4320,2015-04-18,canned beer
4320,2015-04-18,sausage
4320,2015-04-18,onions
4320,2015-04-18,canned beer
4541,2015-04-18,coffee
4541,2015-04-18,hygiene articles
4541,2015-04-18,yogurt
4661,2015-04-18,chicken
4661,2015-04-18,flower (seeds)
4661,2015-04-18,onions
4661,2015-04-18,rolls/buns
4878,2015-04-18,citrus fruit
4878,2015-04-18,whole milk
1178,2015-04-19,other vegetables
1178,2015-04-19,ice cream
1178,2015-04-19,pork
1178,2015-04-19,salt
1211,2015-04-19,UHT-milk
1211,2015-04-19,other vegetables
1254,2015-04-19,white wine
1254,2015-04-19,specialty bar
1254,2015-04-19,specialty chocolate
1466,2015-04-19,beef
1466,2015-04-19,root vegetables
1752,2015-04-19,pip fruit
1752,2015-04-19,butter milk
2037,2015-04-19,organic sausage
2037,2015-04-19,grapes
2037,2015-04-19,pastry
2344,2015-04-19,ham
2344,2015-04-19,cream cheese
2344,2015-04-19,other vegetables
2344,2015-04-19,oil
2344,2015-04-19,candy
2719,2015-04-19,citrus fruit
2719,2015-04-19,soda
2719,2015-04-19,berries
2719,2015-04-19,coffee
2719,2015-04-19,sugar
2916,2015-04-19,pastry
2916,2015-04-19,frozen vegetables
3084,2015-04-19,hamburger meat
3084,2015-04-19,salt
3138,2015-04-19,other vegetables
3138,2015-04-19,brown bread
3138,2015-04-19,hard cheese
3138,2015-04-19,salty snack
3523,2015-04-19,rolls/buns
3523,2015-04-19,rolls/buns
3700,2015-04-19,other vegetables
3700,2015-04-19,whole milk
3700,2015-04-19,soda
3999,2015-04-19,yogurt
3999,2015-04-19,sausage
3999,2015-04-19,whipped/sour cream
3999,2015-04-19,onions
4004,2015-04-19,coffee
4004,2015-04-19,citrus fruit
4160,2015-04-19,turkey
4160,2015-04-19,root vegetables
4498,2015-04-19,other vegetables
4498,2015-04-19,chocolate
4610,2015-04-19,pip fruit
4610,2015-04-19,hamburger meat
4610,2015-04-19,brown bread
4610,2015-04-19,cream cheese
4610,2015-04-19,curd
4891,2015-04-19,cookware
4891,2015-04-19,cream cheese
4923,2015-04-19,other vegetables
4923,2015-04-19,rolls/buns
4923,2015-04-19,soda
4977,2015-04-19,whole milk
4977,2015-04-19,bottled beer
4977,2015-04-19,rolls/buns
1152,2015-04-20,soda
1152,2015-04-20,frozen meals
1380,2015-04-20,candy
1380,2015-04-20,cake bar
1392,2015-04-20,specialty bar
1392,2015-04-20,cream cheese
1527,2015-04-20,citrus fruit
1527,2015-04-20,rolls/buns
1527,2015-04-20,napkins
1527,2015-04-20,soda
1599,2015-04-20,semi-finished bread
1599,2015-04-20,whole milk
1821,2015-04-20,root vegetables
1821,2015-04-20,frozen vegetables
1821,2015-04-20,misc. beverages
1890,2015-04-20,berries
1890,2015-04-20,curd
2005,2015-04-20,pork
2005,2015-04-20,yogurt
2005,2015-04-20,soda
2018,2015-04-20,chicken
2018,2015-04-20,curd
2051,2015-04-20,whole milk
2051,2015-04-20,pork
2051,2015-04-20,brown bread
2051,2015-04-20,other vegetables
2209,2015-04-20,bottled beer
2209,2015-04-20,rolls/buns
2209,2015-04-20,other vegetables
2509,2015-04-20,root vegetables
2509,2015-04-20,ham
2550,2015-04-20,shopping bags
2550,2015-04-20,red/blush wine
2550,2015-04-20,butter
3128,2015-04-20,sausage
3128,2015-04-20,butter
3128,2015-04-20,specialty bar
3128,2015-04-20,soda
3128,2015-04-20,whipped/sour cream
3596,2015-04-20,other vegetables
3596,2015-04-20,citrus fruit
3596,2015-04-20,canned beer
3735,2015-04-20,rolls/buns
3735,2015-04-20,seasonal products
3735,2015-04-20,margarine
4408,2015-04-20,pork
4408,2015-04-20,butter
4710,2015-04-20,cat food
4710,2015-04-20,pasta
1768,2015-04-21,chicken
1768,2015-04-21,finished products
1768,2015-04-21,rolls/buns
1768,2015-04-21,butter
1768,2015-04-21,rolls/buns
1768,2015-04-21,herbs
1768,2015-04-21,white bread
1777,2015-04-21,beef
1777,2015-04-21,tropical fruit
1901,2015-04-21,citrus fruit
1901,2015-04-21,tropical fruit
2043,2015-04-21,tropical fruit
2043,2015-04-21,other vegetables
2043,2015-04-21,pastry
2043,2015-04-21,tropical fruit
2043,2015-04-21,long life bakery product
2043,2015-04-21,bottled water
2043,2015-04-21,UHT-milk
2043,2015-04-21,fruit/vegetable juice
2080,2015-04-21,tropical fruit
2080,2015-04-21,whole milk
2359,2015-04-21,pastry
2359,2015-04-21,whole milk
2359,2015-04-21,other vegetables
2359,2015-04-21,rolls/buns
2449,2015-04-21,bottled beer
2449,2015-04-21,yogurt
2643,2015-04-21,tropical fruit
2643,2015-04-21,whole milk
2745,2015-04-21,berries
2745,2015-04-21,other vegetables
3025,2015-04-21,citrus fruit
3025,2015-04-21,sausage
3025,2015-04-21,bottled beer
3025,2015-04-21,herbs
3139,2015-04-21,tropical fruit
3139,2015-04-21,onions
3139,2015-04-21,whipped/sour cream
3476,2015-04-21,bottled water
3476,2015-04-21,detergent
3476,2015-04-21,domestic eggs
3476,2015-04-21,yogurt
3500,2015-04-21,soda
3500,2015-04-21,soda
3500,2015-04-21,canned beer
3500,2015-04-21,frozen dessert
3500,2015-04-21,tropical fruit
3500,2015-04-21,whole milk
3500,2015-04-21,bottled water
3500,2015-04-21,specialty bar
3500,2015-04-21,domestic eggs
3515,2015-04-21,pip fruit
3515,2015-04-21,root vegetables
3677,2015-04-21,mayonnaise
3677,2015-04-21,pet care
3781,2015-04-21,root vegetables
3781,2015-04-21,frozen dessert
3781,2015-04-21,beverages
3866,2015-04-21,root vegetables
3866,2015-04-21,bottled water
4016,2015-04-21,pork
4016,2015-04-21,yogurt
4052,2015-04-21,bottled beer
4052,2015-04-21,whole milk
4052,2015-04-21,shopping bags
4907,2015-04-21,citrus fruit
4907,2015-04-21,whole milk
1033,2015-04-22,tropical fruit
1033,2015-04-22,soda
1033,2015-04-22,rolls/buns
1202,2015-04-22,yogurt
1202,2015-04-22,rolls/buns
1709,2015-04-22,sausage
1709,2015-04-22,root vegetables
1777,2015-04-22,tropical fruit
1777,2015-04-22,whole milk
2085,2015-04-22,soda
2085,2015-04-22,candy
2171,2015-04-22,beef
2171,2015-04-22,ice cream
2505,2015-04-22,yogurt
2505,2015-04-22,whole milk
2634,2015-04-22,berries
2634,2015-04-22,whipped/sour cream
2634,2015-04-22,other vegetables
2634,2015-04-22,other vegetables
2634,2015-04-22,newspapers
2640,2015-04-22,other vegetables
2640,2015-04-22,other vegetables
2837,2015-04-22,whole milk
2837,2015-04-22,yogurt
3456,2015-04-22,soda
3456,2015-04-22,other vegetables
3899,2015-04-22,rolls/buns
3899,2015-04-22,sausage
3899,2015-04-22,curd
3899,2015-04-22,whole milk
3899,2015-04-22,butter milk
3899,2015-04-22,margarine
3899,2015-04-22,white bread
3899,2015-04-22,yogurt
4100,2015-04-22,sausage
4100,2015-04-22,whole milk
4100,2015-04-22,pastry
4100,2015-04-22,whole milk
4258,2015-04-22,beef
4258,2015-04-22,whole milk
4258,2015-04-22,fruit/vegetable juice
4258,2015-04-22,hygiene articles
4285,2015-04-22,fruit/vegetable juice
4285,2015-04-22,roll products
4312,2015-04-22,tropical fruit
4312,2015-04-22,whole milk
4312,2015-04-22,shopping bags
4524,2015-04-22,whole milk
4524,2015-04-22,ice cream
4524,2015-04-22,soda
4524,2015-04-22,yogurt
4524,2015-04-22,spices
4799,2015-04-22,citrus fruit
4799,2015-04-22,roll products
4890,2015-04-22,rolls/buns
4890,2015-04-22,whole milk
4890,2015-04-22,other vegetables
4950,2015-04-22,rolls/buns
4950,2015-04-22,instant coffee
4950,2015-04-22,UHT-milk
4950,2015-04-22,margarine
1016,2015-04-23,soft cheese
1016,2015-04-23,pip fruit
1038,2015-04-23,pip fruit
1038,2015-04-23,herbs
1038,2015-04-23,frozen meals
1832,2015-04-23,berries
1832,2015-04-23,sauces
2512,2015-04-23,canned beer
2512,2015-04-23,ham
2512,2015-04-23,bottled water
2512,2015-04-23,domestic eggs
2592,2015-04-23,sugar
2592,2015-04-23,fruit/vegetable juice
2592,2015-04-23,margarine
2769,2015-04-23,bottled water
2769,2015-04-23,frozen dessert
2769,2015-04-23,root vegetables
3380,2015-04-23,pork
3380,2015-04-23,flour
3882,2015-04-23,finished products
3882,2015-04-23,whole milk
3882,2015-04-23,other vegetables
3882,2015-04-23,cling film/bags
4163,2015-04-23,specialty chocolate
4163,2015-04-23,liquor
4293,2015-04-23,other vegetables
4293,2015-04-23,whole milk
4293,2015-04-23,Instant food products
4467,2015-04-23,other vegetables
4467,2015-04-23,pork
4467,2015-04-23,newspapers
4975,2015-04-23,other vegetables
4975,2015-04-23,pip fruit
1035,2015-04-24,whole milk
1035,2015-04-24,yogurt
1035,2015-04-24,yogurt
1035,2015-04-24,rolls/buns
1290,2015-04-24,other vegetables
1290,2015-04-24,frankfurter
1290,2015-04-24,whole milk
1290,2015-04-24,sausage
1290,2015-04-24,misc. beverages
1290,2015-04-24,margarine
1290,2015-04-24,yogurt
1290,2015-04-24,frozen meals
1290,2015-04-24,cat food
1435,2015-04-24,ham
1435,2015-04-24,yogurt
1435,2015-04-24,hard cheese
1435,2015-04-24,rolls/buns
1789,2015-04-24,pip fruit
1789,2015-04-24,male cosmetics
1892,2015-04-24,whole milk
1892,2015-04-24,shopping bags
1892,2015-04-24,yogurt
1892,2015-04-24,canned beer
1945,2015-04-24,canned beer
1945,2015-04-24,whipped/sour cream
2128,2015-04-24,rolls/buns
2128,2015-04-24,frozen meals
2346,2015-04-24,tropical fruit
2346,2015-04-24,specialty cheese
2499,2015-04-24,root vegetables
2499,2015-04-24,butter
2499,2015-04-24,frozen vegetables
2499,2015-04-24,butter
3215,2015-04-24,frankfurter
3215,2015-04-24,curd
3215,2015-04-24,specialty cheese
3347,2015-04-24,whole milk
3347,2015-04-24,pastry
3347,2015-04-24,margarine
3347,2015-04-24,pastry
3690,2015-04-24,spread cheese
3690,2015-04-24,frankfurter
3690,2015-04-24,ice cream
3690,2015-04-24,citrus fruit
3690,2015-04-24,pip fruit
3690,2015-04-24,cake bar
3690,2015-04-24,other vegetables
3690,2015-04-24,yogurt
3690,2015-04-24,rolls/buns
4022,2015-04-24,chicken
4022,2015-04-24,herbs
4022,2015-04-24,soda
4122,2015-04-24,tropical fruit
4122,2015-04-24,rolls/buns
4693,2015-04-24,canned beer
4693,2015-04-24,whipped/sour cream
4979,2015-04-24,coffee
4979,2015-04-24,rolls/buns
4979,2015-04-24,soda
1081,2015-04-25,coffee
1081,2015-04-25,butter milk
1143,2015-04-25,soda
1143,2015-04-25,whole milk
1143,2015-04-25,whole milk
1143,2015-04-25,sugar
1270,2015-04-25,pork
1270,2015-04-25,napkins
1372,2015-04-25,soda
1372,2015-04-25,white bread
1372,2015-04-25,fruit/vegetable juice
1483,2015-04-25,brown bread
1483,2015-04-25,soda
1858,2015-04-25,packaged fruit/vegetables
1858,2015-04-25,yogurt
2584,2015-04-25,shopping bags
2584,2015-04-25,soap
2761,2015-04-25,citrus fruit
2761,2015-04-25,rolls/buns
3301,2015-04-25,soda
3301,2015-04-25,cream cheese
3322,2015-04-25,ham
3322,2015-04-25,citrus fruit
3558,2015-04-25,whole milk
3558,2015-04-25,soft cheese
3558,2015-04-25,soda
3558,2015-04-25,brown bread
3752,2015-04-25,canned beer
3752,2015-04-25,root vegetables
3937,2015-04-25,white wine
3937,2015-04-25,citrus fruit
4078,2015-04-25,frankfurter
4078,2015-04-25,specialty chocolate
4078,2015-04-25,pip fruit
4262,2015-04-25,whole milk
