satisfaction,Gender,Age,Customer_Type,Class,Flight_Distance,Seat_comfort,Food_and_drink,Inflight_wifi_service,Inflight_entertainment,Onboard_service,Leg_room_service,Baggage_handling,Cleanliness,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes
dissatisfied,Male,8.0,Loyal Customer,Eco,1686.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0,2.0,7.0,0.0
dissatisfied,Male,45.0,Loyal Customer,Eco,2031.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,25.0,40.0
satisfied,Male,38.0,Loyal Customer,Business,885.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0
dissatisfied,Male,45.0,Loyal Customer,Eco,2680.0,2.0,2.0,3.0,2.0,5.0,4.0,3.0,4.0,5.0,65.0
dissatisfied,Male,59.0,Loyal Customer,Eco,2891.0,3.0,2.0,5.0,2.0,4.0,4.0,3.0,4.0,0.0,0.0
dissatisfied,Male,39.0,Loyal Customer,Eco Plus,2481.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
dissatisfied,Male,61.0,Loyal Customer,Eco,1517.0,2.0,2.0,4.0,2.0,5.0,4.0,5.0,5.0,0.0,20.0
satisfied,Female,59.0,Loyal Customer,Eco,334.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0
satisfied,Female,42.0,Loyal Customer,Eco,98.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,10.0,2.0
satisfied,Male,16.0,Loyal Customer,Eco,2920.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,0.0,18.0
satisfied,Female,17.0,Loyal Customer,Eco Plus,2470.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Male,55.0,Loyal Customer,Eco,2218.0,1.0,0.0,5.0,0.0,5.0,5.0,4.0,5.0,0.0,0.0
dissatisfied,Male,65.0,Loyal Customer,Eco,2009.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,0.0,6.0
dissatisfied,Female,55.0,Loyal Customer,Eco,2249.0,4.0,4.0,4.0,5.0,2.0,4.0,1.0,4.0,138.0,137.0
dissatisfied,Male,26.0,Loyal Customer,Business,2173.0,2.0,2.0,5.0,2.0,4.0,2.0,5.0,4.0,0.0,0.0
satisfied,Female,54.0,Loyal Customer,Business,548.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
dissatisfied,Male,28.0,Loyal Customer,Eco,2379.0,3.0,4.0,5.0,4.0,1.0,5.0,3.0,3.0,10.0,0.0
satisfied,Female,44.0,Loyal Customer,Eco Plus,1120.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,42.0,39.0
dissatisfied,Female,14.0,Loyal Customer,Eco,1695.0,4.0,4.0,1.0,4.0,5.0,2.0,4.0,4.0,0.0,0.0
satisfied,Female,65.0,Loyal Customer,Eco Plus,2500.0,0.0,0.0,5.0,4.0,3.0,3.0,3.0,3.0,0.0,5.0
dissatisfied,Male,21.0,Loyal Customer,Eco,1153.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,0.0,28.0
dissatisfied,Male,57.0,Loyal Customer,Eco,1967.0,1.0,1.0,2.0,1.0,4.0,5.0,5.0,4.0,3.0,0.0
satisfied,Female,23.0,Loyal Customer,Eco,1474.0,1.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,8.0,13.0
satisfied,Female,61.0,Loyal Customer,Eco,1471.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,3.0
dissatisfied,Male,28.0,Loyal Customer,Eco Plus,2065.0,2.0,2.0,3.0,2.0,5.0,2.0,4.0,5.0,0.0,0.0
satisfied,Female,29.0,Loyal Customer,Eco,1962.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,11.0,7.0
dissatisfied,Male,56.0,Loyal Customer,Eco,2660.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,0.0,0.0
satisfied,Female,7.0,Loyal Customer,Eco,3535.0,2.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,0.0,null
dissatisfied,Male,18.0,Loyal Customer,Eco,995.0,2.0,2.0,4.0,2.0,5.0,5.0,5.0,4.0,2.0,6.0
dissatisfied,Male,70.0,Loyal Customer,Eco,2050.0,4.0,5.0,2.0,5.0,1.0,1.0,4.0,2.0,3.0,3.0
satisfied,Female,20.0,Loyal Customer,Eco,1535.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0
dissatisfied,Male,11.0,Loyal Customer,Eco,4165.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,4.0,152.0,151.0
satisfied,Male,17.0,Loyal Customer,Eco Plus,1191.0,0.0,0.0,1.0,0.0,4.0,3.0,5.0,5.0,0.0,0.0
dissatisfied,Male,34.0,Loyal Customer,Eco Plus,2115.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,0.0,8.0
satisfied,Female,61.0,Loyal Customer,Eco,2590.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Female,54.0,Loyal Customer,Eco,453.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,17.0,5.0
satisfied,Female,59.0,Loyal Customer,Business,373.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,20.0,16.0
dissatisfied,Male,49.0,Loyal Customer,Eco,1958.0,1.0,1.0,5.0,1.0,5.0,4.0,5.0,4.0,44.0,41.0
dissatisfied,Male,21.0,Loyal Customer,Eco,1103.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,22.0,10.0
dissatisfied,Male,31.0,Loyal Customer,Eco,2532.0,2.0,2.0,4.0,2.0,5.0,2.0,5.0,4.0,3.0,0.0
satisfied,Female,68.0,Loyal Customer,Business,510.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Male,68.0,Loyal Customer,Eco,1604.0,1.0,1.0,3.0,1.0,5.0,2.0,4.0,5.0,11.0,8.0
satisfied,Female,46.0,Loyal Customer,Eco,864.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,0.0
dissatisfied,Male,56.0,Loyal Customer,Business,305.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0
dissatisfied,Male,41.0,Loyal Customer,Eco Plus,1283.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,2.0,0.0,3.0
dissatisfied,Male,46.0,Loyal Customer,Business,2598.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,0.0,0.0
satisfied,Female,69.0,Loyal Customer,Eco,762.0,4.0,4.0,2.0,3.0,5.0,4.0,5.0,5.0,3.0,0.0
dissatisfied,Male,68.0,Loyal Customer,Eco,1969.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,1.0
dissatisfied,Male,19.0,Loyal Customer,Eco,2169.0,1.0,1.0,5.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Female,44.0,Loyal Customer,Eco,639.0,4.0,4.0,3.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0
dissatisfied,Male,61.0,Loyal Customer,Eco,1828.0,1.0,1.0,3.0,1.0,3.0,5.0,4.0,5.0,0.0,0.0
satisfied,Female,42.0,Loyal Customer,Eco,767.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,16.0,12.0
dissatisfied,Male,16.0,Loyal Customer,Eco,4268.0,2.0,1.0,1.0,1.0,5.0,2.0,5.0,5.0,7.0,5.0
satisfied,Female,65.0,Loyal Customer,Eco,303.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,0.0,6.0
dissatisfied,Male,25.0,Loyal Customer,Eco,1769.0,2.0,0.0,2.0,0.0,1.0,3.0,3.0,3.0,49.0,59.0
satisfied,Female,13.0,Loyal Customer,Eco,2021.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0
satisfied,Female,42.0,Loyal Customer,Eco,331.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0
dissatisfied,Male,11.0,Loyal Customer,Eco Plus,1223.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0
satisfied,Female,46.0,Loyal Customer,Eco,1223.0,4.0,4.0,2.0,4.0,5.0,4.0,5.0,5.0,12.0,0.0
dissatisfied,Female,19.0,Loyal Customer,Eco,2332.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,0.0,0.0
dissatisfied,Male,12.0,Loyal Customer,Eco,1101.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,6.0,17.0
satisfied,Female,56.0,Loyal Customer,Business,1767.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,0.0,0.0
dissatisfied,Female,32.0,Loyal Customer,Eco,2542.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,3.0,156.0,152.0
satisfied,Female,34.0,Loyal Customer,Eco,2458.0,1.0,1.0,4.0,4.0,4.0,3.0,5.0,4.0,28.0,13.0
satisfied,Female,47.0,Loyal Customer,Eco,250.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,13.0
dissatisfied,Female,25.0,Loyal Customer,Eco,2313.0,3.0,3.0,1.0,3.0,5.0,3.0,4.0,5.0,1.0,11.0
satisfied,Female,36.0,Loyal Customer,Eco,1551.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0
dissatisfied,Male,26.0,Loyal Customer,Eco,4087.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,1.0,18.0,23.0
dissatisfied,Male,17.0,Loyal Customer,Eco,1126.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,3.0,4.0,3.0
dissatisfied,Male,9.0,Loyal Customer,Eco,1129.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,0.0,5.0
dissatisfied,Male,29.0,Loyal Customer,Eco,1384.0,4.0,4.0,1.0,4.0,3.0,4.0,1.0,3.0,42.0,82.0
dissatisfied,Male,29.0,Loyal Customer,Eco Plus,1825.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,30.0,40.0
satisfied,Female,69.0,Loyal Customer,Eco,740.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0
satisfied,Male,34.0,Loyal Customer,Eco,1887.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,20.0,16.0
dissatisfied,Female,63.0,Loyal Customer,Eco,686.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,15.0,25.0
dissatisfied,Male,70.0,Loyal Customer,Eco,2662.0,2.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0,0.0,0.0
satisfied,Male,24.0,Loyal Customer,Eco,1659.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,0.0,0.0
dissatisfied,Male,22.0,Loyal Customer,Eco,2446.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,4.0,0.0,0.0
satisfied,Female,18.0,Loyal Customer,Eco,2484.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
satisfied,Female,59.0,Loyal Customer,Eco Plus,123.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Male,56.0,Loyal Customer,Eco,1330.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,26.0,18.0
satisfied,Female,32.0,Loyal Customer,Eco,2087.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Male,36.0,Loyal Customer,Eco,2490.0,2.0,2.0,2.0,4.0,2.0,5.0,5.0,4.0,161.0,176.0
satisfied,Female,56.0,Loyal Customer,Business,936.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,2.0,0.0
satisfied,Female,66.0,Loyal Customer,Eco,200.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,28.0,22.0
satisfied,Female,13.0,Loyal Customer,Eco,2214.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,37.0,24.0
satisfied,Female,58.0,Loyal Customer,Eco,541.0,4.0,3.0,4.0,5.0,5.0,5.0,2.0,3.0,0.0,0.0
dissatisfied,Male,28.0,Loyal Customer,Eco,1832.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0
dissatisfied,Male,18.0,Loyal Customer,Eco,1495.0,2.0,2.0,4.0,2.0,3.0,3.0,5.0,5.0,12.0,6.0
satisfied,Female,42.0,Loyal Customer,Eco,130.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
satisfied,Male,39.0,Loyal Customer,Eco Plus,1875.0,5.0,5.0,4.0,5.0,1.0,5.0,4.0,3.0,32.0,15.0
dissatisfied,Male,26.0,Loyal Customer,Eco Plus,3400.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,0.0,0.0
satisfied,Female,13.0,Loyal Customer,Eco,3061.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,28.0,16.0
satisfied,Female,63.0,Loyal Customer,Eco,569.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,1.0,0.0,0.0
dissatisfied,Male,8.0,Loyal Customer,Eco,2203.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,0.0
dissatisfied,Male,53.0,Loyal Customer,Eco,3191.0,1.0,1.0,3.0,1.0,5.0,5.0,5.0,4.0,19.0,0.0
dissatisfied,Male,14.0,Loyal Customer,Eco,1938.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,4.0,0.0,11.0
dissatisfied,Male,48.0,Loyal Customer,Eco,1716.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,3.0,0.0,1.0
dissatisfied,Male,25.0,Loyal Customer,Eco,1713.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,4.0,4.0,0.0
satisfied,Female,42.0,Loyal Customer,Eco,835.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,0.0,2.0
satisfied,Female,55.0,Loyal Customer,Business,1662.0,0.0,0.0,4.0,5.0,2.0,0.0,2.0,2.0,3.0,2.0
satisfied,Female,27.0,Loyal Customer,Eco,1681.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,12.0,15.0
satisfied,Female,33.0,Loyal Customer,Eco,2402.0,4.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,0.0,5.0
satisfied,Female,10.0,Loyal Customer,Eco,1615.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,51.0,38.0
dissatisfied,Female,28.0,Loyal Customer,Eco,1566.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,5.0,0.0,0.0
dissatisfied,Male,39.0,Loyal Customer,Eco,2340.0,2.0,2.0,4.0,2.0,3.0,3.0,5.0,5.0,28.0,30.0
dissatisfied,Male,46.0,Loyal Customer,Eco Plus,1819.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,0.0,8.0
satisfied,Female,30.0,Loyal Customer,Eco,2668.0,5.0,5.0,1.0,5.0,4.0,2.0,5.0,4.0,0.0,0.0
satisfied,Female,67.0,Loyal Customer,Eco,2131.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,0.0,0.0
dissatisfied,Female,25.0,Loyal Customer,Eco,4516.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,1.0,152.0,191.0
satisfied,Female,15.0,Loyal Customer,Eco,2218.0,4.0,5.0,4.0,4.0,1.0,1.0,5.0,3.0,0.0,27.0
dissatisfied,Male,10.0,Loyal Customer,Eco Plus,1660.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,0.0,7.0
satisfied,Female,43.0,Loyal Customer,Eco Plus,860.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,0.0,0.0
satisfied,Female,31.0,Loyal Customer,Eco Plus,4207.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Female,38.0,Loyal Customer,Business,518.0,4.0,4.0,3.0,5.0,1.0,4.0,1.0,1.0,0.0,0.0
satisfied,Female,25.0,Loyal Customer,Eco,1600.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Male,55.0,Loyal Customer,Eco,1195.0,1.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,0.0,0.0
dissatisfied,Female,38.0,Loyal Customer,Eco,2115.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,0.0,0.0
satisfied,Female,31.0,Loyal Customer,Eco,2297.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,0.0,0.0
satisfied,Female,14.0,Loyal Customer,Eco,1419.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
satisfied,Female,56.0,Loyal Customer,Eco,221.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,0.0,10.0
satisfied,Female,70.0,Loyal Customer,Eco,56.0,1.0,1.0,4.0,2.0,5.0,5.0,5.0,5.0,0.0,6.0
satisfied,Female,27.0,Loyal Customer,Eco Plus,2966.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,16.0
satisfied,Female,42.0,Loyal Customer,Eco,1875.0,1.0,1.0,4.0,4.0,4.0,3.0,5.0,5.0,50.0,50.0
dissatisfied,Male,21.0,Loyal Customer,Eco,2095.0,2.0,1.0,4.0,1.0,3.0,3.0,3.0,4.0,45.0,32.0
satisfied,Female,29.0,Loyal Customer,Eco,2146.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,19.0,8.0
satisfied,Female,38.0,Loyal Customer,Eco,1694.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,23.0,50.0
dissatisfied,Male,43.0,Loyal Customer,Eco,1634.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
dissatisfied,Male,19.0,Loyal Customer,Eco,1242.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0
dissatisfied,Male,24.0,Loyal Customer,Business,2523.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,0.0,0.0
satisfied,Male,68.0,Loyal Customer,Eco,2033.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,4.0,27.0,28.0
satisfied,Female,55.0,Loyal Customer,Eco,682.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,0.0,3.0
satisfied,Female,34.0,Loyal Customer,Eco,2056.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Male,47.0,Loyal Customer,Eco,1869.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0
dissatisfied,Male,46.0,Loyal Customer,Eco Plus,3794.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,16.0,0.0
satisfied,Female,29.0,Loyal Customer,Eco,1103.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,0.0,0.0
dissatisfied,Male,44.0,Loyal Customer,Eco,2167.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,0.0,0.0
satisfied,Female,34.0,Loyal Customer,Eco,1117.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,68.0,64.0
satisfied,Female,10.0,Loyal Customer,Eco Plus,1941.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
satisfied,Female,70.0,Loyal Customer,Eco,107.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Female,25.0,Loyal Customer,Eco,2039.0,4.0,4.0,1.0,4.0,3.0,5.0,4.0,5.0,0.0,0.0
dissatisfied,Male,25.0,Loyal Customer,Eco,1778.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,33.0,34.0
dissatisfied,Male,15.0,Loyal Customer,Eco,2520.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,11.0,0.0
satisfied,Male,7.0,Loyal Customer,Eco,1443.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,5.0,6.0,0.0
dissatisfied,Male,51.0,Loyal Customer,Eco,2280.0,3.0,3.0,5.0,3.0,5.0,2.0,4.0,4.0,0.0,0.0
dissatisfied,Male,51.0,Loyal Customer,Eco,2971.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,3.0,90.0,134.0
satisfied,Female,53.0,Loyal Customer,Eco,635.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,32.0,20.0
dissatisfied,Female,21.0,Loyal Customer,Eco,2374.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,143.0,133.0
dissatisfied,Male,56.0,Loyal Customer,Eco,1987.0,3.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,319.0,317.0
dissatisfied,Male,18.0,Loyal Customer,Eco,3353.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,0.0,10.0
dissatisfied,Male,38.0,Loyal Customer,Business,342.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,0.0
dissatisfied,Male,57.0,Loyal Customer,Business,63.0,3.0,3.0,4.0,5.0,2.0,3.0,2.0,2.0,14.0,7.0
satisfied,Female,70.0,Loyal Customer,Business,248.0,5.0,3.0,5.0,5.0,3.0,2.0,3.0,3.0,0.0,0.0
satisfied,Female,63.0,Loyal Customer,Eco,206.0,2.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,18.0,25.0
dissatisfied,Male,26.0,Loyal Customer,Eco,3402.0,2.0,2.0,5.0,2.0,3.0,5.0,5.0,4.0,6.0,0.0
satisfied,Female,43.0,Loyal Customer,Eco,728.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,10.0,16.0
satisfied,Female,21.0,Loyal Customer,Eco,2780.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,0.0,0.0
satisfied,Female,34.0,Loyal Customer,Eco,1693.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0
satisfied,Female,11.0,Loyal Customer,Eco,2201.0,1.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0
dissatisfied,Male,64.0,Loyal Customer,Eco Plus,1830.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,1.0,33.0,27.0
dissatisfied,Male,57.0,Loyal Customer,Eco,1935.0,3.0,3.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,0.0
satisfied,Female,66.0,Loyal Customer,Eco,98.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,10.0,10.0
dissatisfied,Male,67.0,Loyal Customer,Eco Plus,2079.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,1.0,0.0
dissatisfied,Male,51.0,Loyal Customer,Eco,2368.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,4.0,0.0,0.0
dissatisfied,Male,18.0,Loyal Customer,Eco,1920.0,2.0,2.0,1.0,2.0,3.0,5.0,1.0,1.0,0.0,0.0
satisfied,Female,12.0,Loyal Customer,Eco Plus,2602.0,0.0,0.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0
dissatisfied,Male,40.0,Loyal Customer,Eco,1882.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,3.0,0.0,0.0
dissatisfied,Male,63.0,Loyal Customer,Eco,1548.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,5.0,0.0,0.0
dissatisfied,Male,11.0,Loyal Customer,Eco Plus,2082.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,0.0,36.0
satisfied,Female,10.0,Loyal Customer,Business,2228.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,89.0,76.0
dissatisfied,Male,25.0,Loyal Customer,Eco,2359.0,3.0,3.0,1.0,3.0,5.0,3.0,4.0,4.0,49.0,29.0
dissatisfied,Male,8.0,Loyal Customer,Eco,2148.0,2.0,2.0,5.0,2.0,4.0,5.0,4.0,5.0,10.0,0.0
satisfied,Female,40.0,Loyal Customer,Eco,1529.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0
dissatisfied,Female,27.0,Loyal Customer,Eco,1484.0,4.0,4.0,2.0,4.0,3.0,5.0,2.0,2.0,0.0,0.0
satisfied,Female,39.0,Loyal Customer,Eco,1410.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0
dissatisfied,Male,67.0,Loyal Customer,Eco,1894.0,1.0,0.0,2.0,0.0,4.0,2.0,3.0,4.0,0.0,0.0
dissatisfied,Female,27.0,Loyal Customer,Eco,2682.0,4.0,4.0,5.0,4.0,4.0,2.0,1.0,3.0,1.0,6.0
dissatisfied,Male,41.0,Loyal Customer,Eco Plus,2531.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,3.0,24.0,0.0
dissatisfied,Male,29.0,Loyal Customer,Eco Plus,2480.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,15.0,5.0
satisfied,Female,51.0,Loyal Customer,Eco,2227.0,4.0,0.0,5.0,0.0,2.0,3.0,3.0,4.0,0.0,2.0
dissatisfied,Female,12.0,Loyal Customer,Business,1824.0,4.0,4.0,1.0,4.0,5.0,1.0,3.0,3.0,0.0,0.0
dissatisfied,Male,22.0,Loyal Customer,Eco,1826.0,2.0,2.0,5.0,2.0,3.0,1.0,3.0,2.0,5.0,0.0
dissatisfied,Male,20.0,Loyal Customer,Business,2246.0,4.0,4.0,2.0,4.0,4.0,1.0,5.0,4.0,0.0,7.0
satisfied,Male,8.0,Loyal Customer,Eco,1601.0,5.0,5.0,2.0,5.0,4.0,1.0,2.0,3.0,0.0,0.0
dissatisfied,Male,10.0,Loyal Customer,Eco,2819.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,10.0,0.0
satisfied,Female,56.0,Loyal Customer,Eco,494.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,0.0,0.0
dissatisfied,Male,48.0,Loyal Customer,Eco,1426.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,10.0,18.0
dissatisfied,Female,7.0,Loyal Customer,Eco,1058.0,4.0,4.0,2.0,4.0,5.0,2.0,4.0,4.0,0.0,0.0
dissatisfied,Male,21.0,Loyal Customer,Eco,1032.0,1.0,0.0,4.0,0.0,4.0,5.0,5.0,5.0,0.0,0.0
dissatisfied,Female,60.0,Loyal Customer,Eco,1790.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,176.0,160.0
dissatisfied,Male,54.0,Loyal Customer,Eco,1991.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,27.0,35.0
dissatisfied,Female,10.0,Loyal Customer,Business,2631.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,265.0,265.0
satisfied,Female,19.0,Loyal Customer,Eco,2705.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,0.0
dissatisfied,Male,36.0,Loyal Customer,Eco,1610.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,5.0,23.0,11.0
satisfied,Female,46.0,Loyal Customer,Eco,69.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0
dissatisfied,Male,15.0,Loyal Customer,Eco,2260.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,1.0,0.0,0.0
satisfied,Female,37.0,Loyal Customer,Eco,2943.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0
